Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-koj1,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1690205151352,24/07/2023 13:25:51,1690208751352,1,24/07/2023 15:25:51,135241,8,questionnaire-cmun,,30835322,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690205224863,24/07/2023 13:27:04,1690208824863,1,24/07/2023 15:27:04,135241,8,questionnaire-cmun,,30835322,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690205622021,24/07/2023 13:33:42,1690209222021,1,24/07/2023 15:33:42,135241,8,questionnaire-cmun,,30835487,BLIND,9155442,,complete,,64be8bb77310c0ede34dde20,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x781,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690205630221,24/07/2023 13:33:50,1690209230221,1,24/07/2023 15:33:50,135241,8,questionnaire-cmun,,30835487,BLIND,9155442,,complete,,64be8bb77310c0ede34dde20,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x781,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690205658690,24/07/2023 13:34:18,1690209258690,1,24/07/2023 15:34:18,135241,8,questionnaire-cmun,,30835498,BLIND,9155448,,complete,,64be8bdbc8369e992a00eb27,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690205673123,24/07/2023 13:34:33,1690209273123,1,24/07/2023 15:34:33,135241,8,questionnaire-cmun,,30835498,BLIND,9155448,,complete,,64be8bdbc8369e992a00eb27,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690205739601,24/07/2023 13:35:39,1690209339601,1,24/07/2023 15:35:39,135241,8,questionnaire-cmun,,30835528,BLIND,9155457,,complete,,64be8c23ad42ad374d8565c2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x837,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690205794016,24/07/2023 13:36:34,1690209394016,1,24/07/2023 15:36:34,135241,8,questionnaire-cmun,,30835528,BLIND,9155457,,complete,,64be8c23ad42ad374d8565c2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x837,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690205905458,24/07/2023 13:38:25,1690209505458,1,24/07/2023 15:38:25,135241,8,questionnaire-cmun,,30835588,BLIND,9155474,,complete,,64be8bd79bb579afd4f0e71a,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1470x738,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690205937055,24/07/2023 13:38:57,1690209537055,1,24/07/2023 15:38:57,135241,8,questionnaire-cmun,,30835588,BLIND,9155474,,complete,,64be8bd79bb579afd4f0e71a,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1470x738,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690206025953,24/07/2023 13:40:25,1690209625953,1,24/07/2023 15:40:25,135241,8,questionnaire-cmun,,30835644,BLIND,9155490,,complete,,64be8d49b914d7a4070ea73f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1366x625,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690206032004,24/07/2023 13:40:32,1690209632004,1,24/07/2023 15:40:32,135241,8,questionnaire-cmun,,30835644,BLIND,9155490,,complete,,64be8d49b914d7a4070ea73f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1366x625,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690206675979,24/07/2023 13:51:15,1690210275979,1,24/07/2023 15:51:15,135241,8,questionnaire-cmun,,30835887,BLIND,9155552,,complete,,64be8f9e6af66b9a8ea326e8,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690206680898,24/07/2023 13:51:20,1690210280898,1,24/07/2023 15:51:20,135241,8,questionnaire-cmun,,30835887,BLIND,9155552,,complete,,64be8f9e6af66b9a8ea326e8,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207100939,24/07/2023 13:58:20,1690210700939,1,24/07/2023 15:58:20,135241,8,questionnaire-cmun,,30836103,BLIND,9155618,,complete,,64be917cb28cdca1c9775833,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1536x864,1536x715,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207105986,24/07/2023 13:58:25,1690210705986,1,24/07/2023 15:58:25,135241,8,questionnaire-cmun,,30836103,BLIND,9155618,,complete,,64be917cb28cdca1c9775833,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1536x864,1536x715,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207423645,24/07/2023 14:03:43,1690211023645,1,24/07/2023 16:03:43,135241,8,questionnaire-cmun,,30836260,BLIND,9155650,,complete,,64be92c1c4e9b34d14cfe418,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x569,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207445235,24/07/2023 14:04:05,1690211045235,1,24/07/2023 16:04:05,135241,8,questionnaire-cmun,,30836260,BLIND,9155650,,complete,,64be92c1c4e9b34d14cfe418,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x569,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207427164,24/07/2023 14:03:47,1690211027164,1,24/07/2023 16:03:47,135241,8,questionnaire-cmun,,30836263,BLIND,9155652,,complete,,64be92ca13643f3275380072,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x746,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207433771,24/07/2023 14:03:53,1690211033771,1,24/07/2023 16:03:53,135241,8,questionnaire-cmun,,30836263,BLIND,9155652,,complete,,64be92ca13643f3275380072,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x746,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207438625,24/07/2023 14:03:58,1690211038625,1,24/07/2023 16:03:58,135241,8,questionnaire-cmun,,30836273,BLIND,9155659,,complete,,64be92c9206e590e105fc97c,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207442077,24/07/2023 14:04:02,1690211042077,1,24/07/2023 16:04:02,135241,8,questionnaire-cmun,,30836273,BLIND,9155659,,complete,,64be92c9206e590e105fc97c,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207446652,24/07/2023 14:04:06,1690211046652,1,24/07/2023 16:04:06,135241,8,questionnaire-cmun,,30836280,BLIND,9155661,,complete,,64be92d22b012a0a4274e968,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x640,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207517496,24/07/2023 14:05:17,1690211117496,1,24/07/2023 16:05:17,135241,8,questionnaire-cmun,,30836280,BLIND,9155661,,complete,,64be92d22b012a0a4274e968,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x640,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207481816,24/07/2023 14:04:41,1690211081816,1,24/07/2023 16:04:41,135241,8,questionnaire-cmun,,30836286,BLIND,9155662,,complete,,64be92cb3273e95f551b60e8,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207486771,24/07/2023 14:04:46,1690211086771,1,24/07/2023 16:04:46,135241,8,questionnaire-cmun,,30836286,BLIND,9155662,,complete,,64be92cb3273e95f551b60e8,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207464868,24/07/2023 14:04:24,1690211064868,1,24/07/2023 16:04:24,135241,8,questionnaire-cmun,,30836298,BLIND,9155666,,complete,,64be92c53f9c9208abeab711,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207494662,24/07/2023 14:04:54,1690211094662,1,24/07/2023 16:04:54,135241,8,questionnaire-cmun,,30836298,BLIND,9155666,,complete,,64be92c53f9c9208abeab711,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207454935,24/07/2023 14:04:14,1690211054935,1,24/07/2023 16:04:14,135241,8,questionnaire-cmun,,30836302,BLIND,9155668,,complete,,64be92b21001a169775810ab,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1366x768,1366x564,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207492872,24/07/2023 14:04:52,1690211092872,1,24/07/2023 16:04:52,135241,8,questionnaire-cmun,,30836302,BLIND,9155668,,complete,,64be92b21001a169775810ab,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1366x768,1366x564,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207566439,24/07/2023 14:06:06,1690211166439,1,24/07/2023 16:06:06,135241,8,questionnaire-cmun,,30836366,BLIND,9155685,,complete,,64be92fa09bf47bbde61eba0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1280x800,1280x737,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207569503,24/07/2023 14:06:09,1690211169503,1,24/07/2023 16:06:09,135241,8,questionnaire-cmun,,30836366,BLIND,9155685,,complete,,64be92fa09bf47bbde61eba0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1280x800,1280x737,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207593905,24/07/2023 14:06:33,1690211193905,1,24/07/2023 16:06:33,135241,8,questionnaire-cmun,,30836385,BLIND,9155691,,complete,,64be9360a68727737852114d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1470x956,1470x809,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207624765,24/07/2023 14:07:04,1690211224765,1,24/07/2023 16:07:04,135241,8,questionnaire-cmun,,30836385,BLIND,9155691,,complete,,64be9360a68727737852114d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1470x956,1470x809,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207632368,24/07/2023 14:07:12,1690211232368,1,24/07/2023 16:07:12,135241,8,questionnaire-cmun,,30836414,BLIND,9155701,,complete,,64be938d9b5908598a923888,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x837,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207636351,24/07/2023 14:07:16,1690211236351,1,24/07/2023 16:07:16,135241,8,questionnaire-cmun,,30836414,BLIND,9155701,,complete,,64be938d9b5908598a923888,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x837,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207710037,24/07/2023 14:08:30,1690211310037,1,24/07/2023 16:08:30,135241,8,questionnaire-cmun,,30836447,BLIND,9155708,,complete,,64be93e0bad6ad19b149f25d,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1537x725,1536x718,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207715317,24/07/2023 14:08:35,1690211315317,1,24/07/2023 16:08:35,135241,8,questionnaire-cmun,,30836447,BLIND,9155708,,complete,,64be93e0bad6ad19b149f25d,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1537x725,1536x718,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207770318,24/07/2023 14:09:30,1690211370318,1,24/07/2023 16:09:30,135241,8,questionnaire-cmun,,30836486,BLIND,9155719,,complete,,64be94237951d2ff40de6461,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1289x709,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207783995,24/07/2023 14:09:43,1690211383995,1,24/07/2023 16:09:43,135241,8,questionnaire-cmun,,30836486,BLIND,9155719,,complete,,64be94237951d2ff40de6461,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1289x709,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690207914983,24/07/2023 14:11:54,1690211514983,1,24/07/2023 16:11:54,135241,8,questionnaire-cmun,,30836581,BLIND,9155744,,complete,,64be94a0212c90a205f394f9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1280x800,1422x740,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690207920977,24/07/2023 14:12:00,1690211520977,1,24/07/2023 16:12:00,135241,8,questionnaire-cmun,,30836581,BLIND,9155744,,complete,,64be94a0212c90a205f394f9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1280x800,1422x740,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690208262419,24/07/2023 14:17:42,1690211862419,1,24/07/2023 16:17:42,135241,8,questionnaire-cmun,,30836855,BLIND,9155822,,complete,,64be95ff306c3cd91de158dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1920x1200,1792x989,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690208295789,24/07/2023 14:18:15,1690211895789,1,24/07/2023 16:18:15,135241,8,questionnaire-cmun,,30836855,BLIND,9155822,,complete,,64be95ff306c3cd91de158dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1920x1200,1792x989,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690208475957,24/07/2023 14:21:15,1690212075957,1,24/07/2023 16:21:15,135241,8,questionnaire-cmun,,30836926,BLIND,9155842,,complete,,64be92c1493cf989c71dc76f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690208479300,24/07/2023 14:21:19,1690212079300,1,24/07/2023 16:21:19,135241,8,questionnaire-cmun,,30836926,BLIND,9155842,,complete,,64be92c1493cf989c71dc76f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690208800447,24/07/2023 14:26:40,1690212400447,1,24/07/2023 16:26:40,135241,8,questionnaire-cmun,,30837053,BLIND,9155878,,complete,,64be980f61a39411a78a38a9,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x963,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690208847269,24/07/2023 14:27:27,1690212447269,1,24/07/2023 16:27:27,135241,8,questionnaire-cmun,,30837053,BLIND,9155878,,complete,,64be980f61a39411a78a38a9,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x963,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690208808679,24/07/2023 14:26:48,1690212408679,1,24/07/2023 16:26:48,135241,8,questionnaire-cmun,,30837054,BLIND,9155879,,complete,,64be9812514d9c04699418c6,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x595,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690208815404,24/07/2023 14:26:55,1690212415404,1,24/07/2023 16:26:55,135241,8,questionnaire-cmun,,30837054,BLIND,9155879,,complete,,64be9812514d9c04699418c6,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x595,,Information sheet,3,A,,,,,5,,END,,,,,
