noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG,denotation,adjective,phrase,frequency_dep,frequency_seq
sulphur,1,concrete,3.351833928,7,2,5,6,4.23,4.7647,668.25,1.25,4.727,subsective,old,old sulphur,5.79109895703853e-10,1.709172102098542e-09
sulphur,1,concrete,3.351833928,7,2,5,6,4.23,4.7647,668.25,1.25,4.727,privative,imaginary,imaginary sulphur,0.0,0.0
sulphur,1,concrete,3.351833928,7,2,5,6,4.23,4.7647,668.25,1.25,4.727,baseline,tqvgqrz,tqvgqrz sulphur,0.0,0.0
longing,1,abstract,3.408385428,7,2,5,8,2.14,4.303,679.6666667,1.13,3.235,subsective,special,special longing,6.415079835060941e-10,5.920740480161242e-10
longing,1,abstract,3.408385428,7,2,5,8,2.14,4.303,679.6666667,1.13,3.235,privative,past,past longing,2.1640818512977077e-10,1.6578563387585767e-10
longing,1,abstract,3.408385428,7,2,5,8,2.14,4.303,679.6666667,1.13,3.235,baseline,vpbyzkgrf,vpbyzkgrf longing,0.0,0.0
poison,2,concrete,3.916627975,6,2,5,4,4.27,1.9706,520.65,1.01,5.324,subsective,special,special poison,1.7295297500203985e-09,2.254839956806784e-09
poison,2,concrete,3.916627975,6,2,5,4,4.27,1.9706,520.65,1.01,5.324,privative,past,past poison,1.2919336071801926e-10,1.317522618896766e-10
poison,2,concrete,3.916627975,6,2,5,4,4.27,1.9706,520.65,1.01,5.324,baseline,wvcnz,wvcnz poison,0.0,0.0
terror,2,abstract,4.061784936,6,2,4,4,2.43,1.6765,531.7222222,1.48,4.353,subsective,true,true terror,3.1095584398012254e-09,2.9509015982714216e-09
terror,2,abstract,4.061784936,6,2,4,4,2.43,1.6765,531.7222222,1.48,4.353,privative,phony,phony terror,0.0,2.1255798053250647e-11
terror,2,abstract,4.061784936,6,2,4,4,2.43,1.6765,531.7222222,1.48,4.353,baseline,tqvgqrz,tqvgqrz terror,0.0,0.0
sauce,3,concrete,4.787859595,5,1,3,2,4.75,5.7188,541.3846154,0.59,6.2,subsective,average,average sauce,6.868386490849284e-11,0.0
sauce,3,concrete,4.787859595,5,1,3,2,4.75,5.7188,541.3846154,0.59,6.2,privative,fabricated,fabricated sauce,0.0,0.0
sauce,3,concrete,4.787859595,5,1,3,2,4.75,5.7188,541.3846154,0.59,6.2,baseline,vpbyzkgrf,vpbyzkgrf sauce,0.0,0.0
duty,3,abstract,4.614918455,4,2,4,4,2.19,5.0313,574.0277778,1.36,3.061,subsective,important,important duty,1.600352248384947e-07,1.451797554229278e-07
duty,3,abstract,4.614918455,4,2,4,4,2.19,5.0313,574.0277778,1.36,3.061,privative,former,former duty,9.277530842084185e-09,8.465919366190594e-09
duty,3,abstract,4.614918455,4,2,4,4,2.19,5.0313,574.0277778,1.36,3.061,baseline,rjdnw,rjdnw duty,0.0,0.0
band,4,concrete,4.935510541,4,1,4,2,4.68,6.0313,523.2,0.77,6.032,subsective,current,current band,5.240449908699256e-09,4.034026672807388e-09
band,4,concrete,4.935510541,4,1,4,2,4.68,6.0313,523.2,0.77,6.032,privative,false,false band,4.966637636672111e-10,1.425983695228289e-10
band,4,concrete,4.935510541,4,1,4,2,4.68,6.0313,523.2,0.77,6.032,baseline,qxsw,qxsw band,0.0,0.0
spirit,4,abstract,4.658199772,6,2,6,4,1.6,6.875,537.6410256,1.04,3.29,subsective,special,special spirit,1.043741021481916e-08,8.579655081954263e-09
spirit,4,abstract,4.658199772,6,2,6,4,1.6,6.875,537.6410256,1.04,3.29,privative,past,past spirit,6.087381725711418e-10,4.0896348655690427e-10
spirit,4,abstract,4.658199772,6,2,6,4,1.6,6.875,537.6410256,1.04,3.29,baseline,ptrgsbkv,ptrgsbkv spirit,0.0,0.0
brush,5,concrete,4.286688961,5,1,4,2,4.54,5.5,532.7368421,0.74,6.207,subsective,new,new brush,1.727874493356305e-08,1.5112384544288777e-08
brush,5,concrete,4.286688961,5,1,4,2,4.54,5.5,532.7368421,0.74,6.207,privative,hypothetical,hypothetical brush,0.0,0.0
brush,5,concrete,4.286688961,5,1,4,2,4.54,5.5,532.7368421,0.74,6.207,baseline,vpbyzkgrf,vpbyzkgrf brush,0.0,0.0
pride,5,abstract,4.479139007,5,1,4,4,1.66,5.9429,542.972973,1.01,3.412,subsective,actual,actual pride,6.199331701220492e-10,5.750861850383711e-10
pride,5,abstract,4.479139007,5,1,4,4,1.66,5.9429,542.972973,1.01,3.412,privative,artificial,artificial pride,4.384951129273775e-10,3.8027774547003617e-10
pride,5,abstract,4.479139007,5,1,4,4,1.66,5.9429,542.972973,1.01,3.412,baseline,rvqf,rvqf pride,0.0,0.0
mint,6,concrete,4.153920162,4,1,4,2,4.54,6.1333,558.4736842,1.0,6.097,subsective,unique,unique mint,6.517853588551346e-11,9.087671109632823e-11
mint,6,concrete,4.153920162,4,1,4,2,4.54,6.1333,558.4736842,1.0,6.097,privative,virtual,virtual mint,0.0,2.190260425634285e-11
mint,6,concrete,4.153920162,4,1,4,2,4.54,6.1333,558.4736842,1.0,6.097,baseline,fxldmr,fxldmr mint,0.0,0.0
manner,6,abstract,4.173291058,6,2,4,4,1.62,5.8,543.4736842,0.8,2.765,subsective,unique,unique manner,5.6079709605885446e-08,4.5021746080945734e-08
manner,6,abstract,4.173291058,6,2,4,4,1.62,5.8,543.4736842,0.8,2.765,privative,virtual,virtual manner,6.66516588775787e-10,5.400505802297644e-10
manner,6,abstract,4.173291058,6,2,4,4,1.62,5.8,543.4736842,0.8,2.765,baseline,htbqzylm,htbqzylm manner,0.0,0.0
reptile,7,concrete,3.358493558,7,2,6,6,4.47,4.5294,635.9210526,1.11,6.457,subsective,unique,unique reptile,2.600075049747852e-10,1.9558992492257527e-10
reptile,7,concrete,3.358493558,7,2,6,6,4.47,4.5294,635.9210526,1.11,6.457,privative,virtual,virtual reptile,0.0,0.0
reptile,7,concrete,3.358493558,7,2,6,6,4.47,4.5294,635.9210526,1.11,6.457,baseline,kmlsdjtw,kmlsdjtw reptile,0.0,0.0
mischief,7,abstract,3.483196201,8,2,6,6,1.9,4.3333,615.9473684,1.03,4.118,subsective,important,important mischief,1.78815120405044e-10,2.0137773838204407e-10
mischief,7,abstract,3.483196201,8,2,6,6,1.9,4.3333,615.9473684,1.03,4.118,privative,former,former mischief,1.8553358932929476e-10,1.6562025598763762e-10
mischief,7,abstract,3.483196201,8,2,6,6,1.9,4.3333,615.9473684,1.03,4.118,baseline,xkq,xkq mischief,0.0,0.0
crown,8,concrete,4.529965629,5,1,4,2,4.81,6.0625,528.6486486,0.48,6.586,subsective,average,average crown,1.1247769807194607e-09,7.670407932819452e-09
crown,8,concrete,4.529965629,5,1,4,2,4.81,6.0625,528.6486486,0.48,6.586,privative,fabricated,fabricated crown,0.0,0.0
crown,8,concrete,4.529965629,5,1,4,2,4.81,6.0625,528.6486486,0.48,6.586,baseline,rjdnw,rjdnw crown,0.0,0.0
faith,8,abstract,4.666361503,5,1,3,2,1.63,6.6875,562.2631579,1.08,3.486,subsective,true,true faith,3.287388846314377e-07,3.0562769405783797e-07
faith,8,abstract,4.666361503,5,1,3,2,1.63,6.6875,562.2631579,1.08,3.486,privative,phony,phony faith,1.1397605681360982e-10,2.0684713534339638e-10
faith,8,abstract,4.666361503,5,1,3,2,1.63,6.6875,562.2631579,1.08,3.486,baseline,htbqzylm,htbqzylm faith,0.0,0.0
barrier,9,concrete,4.038158407,7,3,5,6,4.41,3.3636,561.5,0.93,5.706,subsective,genuine,genuine barrier,7.364042688235377e-10,6.047094224139794e-10
barrier,9,concrete,4.038158407,7,3,5,6,4.41,3.3636,561.5,0.93,5.706,privative,fictional,fictional barrier,3.533009801833408e-11,3.172798754499209e-11
barrier,9,concrete,4.038158407,7,3,5,6,4.41,3.3636,561.5,0.93,5.706,baseline,rvqf,rvqf barrier,0.0,0.0
scandal,9,abstract,4.221428251,7,2,7,6,2.13,2.5429,602.475,1.36,3.657,subsective,good,good scandal,1.723844371958877e-09,1.166671998055039e-09
scandal,9,abstract,4.221428251,7,2,7,6,2.13,2.5429,602.475,1.36,3.657,privative,fictitious,fictitious scandal,7.889330790977226e-11,6.932290952053339e-11
scandal,9,abstract,4.221428251,7,2,7,6,2.13,2.5429,602.475,1.36,3.657,baseline,ptrgsbkv,ptrgsbkv scandal,0.0,0.0
trailer,10,concrete,3.681611084,7,2,5,4,4.79,5.0313,550.2894737,0.56,5.8,subsective,actual,actual trailer,2.0860527323910304e-10,0.0
trailer,10,concrete,3.681611084,7,2,5,4,4.79,5.0313,550.2894737,0.56,5.8,privative,artificial,artificial trailer,0.0,0.0
trailer,10,concrete,3.681611084,7,2,5,4,4.79,5.0313,550.2894737,0.56,5.8,baseline,ptrgsbkv,ptrgsbkv trailer,0.0,0.0
caution,10,abstract,3.808675702,7,2,5,4,2.04,4.1818,527.3947368,1.1,3.441,subsective,genuine,genuine caution,0.0,0.0
caution,10,abstract,3.808675702,7,2,5,4,2.04,4.1818,527.3947368,1.1,3.441,privative,fictional,fictional caution,0.0,0.0
caution,10,abstract,3.808675702,7,2,5,4,2.04,4.1818,527.3947368,1.1,3.441,baseline,mghljkqr,mghljkqr caution,0.0,0.0
beggar,11,concrete,3.152101759,6,2,4,4,4.59,2.6207,647.8157895,0.63,6.258,subsective,typical,typical beggar,0.0,0.0
beggar,11,concrete,3.152101759,6,2,4,4,4.59,2.6207,647.8157895,0.63,6.258,privative,spurious,spurious beggar,0.0,0.0
beggar,11,concrete,3.152101759,6,2,4,4,4.59,2.6207,647.8157895,0.63,6.258,baseline,tqvgqrz,tqvgqrz beggar,0.0,0.0
blunder,11,abstract,3.020018181,7,2,6,6,2.35,3.4118,598.2631579,1.26,3.059,subsective,bad,bad blunder,0.0,0.0
blunder,11,abstract,3.020018181,7,2,6,6,2.35,3.4118,598.2631579,1.26,3.059,privative,fake,fake blunder,0.0,0.0
blunder,11,abstract,3.020018181,7,2,6,6,2.35,3.4118,598.2631579,1.26,3.059,baseline,rjdnw,rjdnw blunder,0.0,0.0
brake,12,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657,subsective,authentic,authentic brake,0.0,0.0
brake,12,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657,privative,counterfeit,counterfeit brake,0.0,0.0
brake,12,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657,baseline,htbqzylm,htbqzylm brake,0.0,0.0
hint,12,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0,subsective,unique,unique hint,0.0,0.0
hint,12,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0,privative,virtual,virtual hint,0.0,0.0
hint,12,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0,baseline,rvqf,rvqf hint,0.0,0.0
baggage,13,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0,subsective,typical,typical baggage,0.0,0.0
baggage,13,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0,privative,spurious,spurious baggage,0.0,0.0
baggage,13,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0,baseline,wvcnz,wvcnz baggage,0.0,0.0
gloom,13,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788,subsective,average,average gloom,0.0,0.0
gloom,13,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788,privative,fabricated,fabricated gloom,0.0,0.0
gloom,13,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788,baseline,mtpv,mtpv gloom,0.0,0.0
daughter,14,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879,subsective,important,important daughter,0.0,0.0
daughter,14,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879,privative,former,former daughter,0.0,0.0
daughter,14,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879,baseline,zbxlv,zbxlv daughter,0.0,0.0
reason,14,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029,subsective,important,important reason,0.0,0.0
reason,14,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029,privative,former,former reason,0.0,0.0
reason,14,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029,baseline,wvcnz,wvcnz reason,0.0,0.0
chess,15,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353,subsective,genuine,genuine chess,0.0,0.0
chess,15,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353,privative,fictional,fictional chess,0.0,0.0
chess,15,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353,baseline,bxfjwts,bxfjwts chess,0.0,0.0
mercy,15,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229,subsective,bad,bad mercy,0.0,0.0
mercy,15,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229,privative,fake,fake mercy,0.0,0.0
mercy,15,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229,baseline,mghljkqr,mghljkqr mercy,0.0,0.0
cooker,16,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514,subsective,good,good cooker,0.0,0.0
cooker,16,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514,privative,fictitious,fictitious cooker,0.0,0.0
cooker,16,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514,baseline,qxsw,qxsw cooker,0.0,0.0
mode,16,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636,subsective,perfect,perfect mode,0.0,0.0
mode,16,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636,privative,mock,mock mode,0.0,0.0
mode,16,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636,baseline,kmlsdjtw,kmlsdjtw mode,0.0,0.0
fireworks,17,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839,subsective,important,important fireworks,0.0,0.0
fireworks,17,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839,privative,former,former fireworks,0.0,0.0
fireworks,17,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839,baseline,tqvgqrz,tqvgqrz fireworks,0.0,0.0
blessing,17,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576,subsective,authentic,authentic blessing,0.0,0.0
blessing,17,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576,privative,counterfeit,counterfeit blessing,0.0,0.0
blessing,17,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576,baseline,vpbyzkgrf,vpbyzkgrf blessing,0.0,0.0
rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,subsective,new,new rubble,0.0,0.0
rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,privative,hypothetical,hypothetical rubble,0.0,0.0
rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,baseline,bxfjwts,bxfjwts rubble,0.0,0.0
bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,subsective,real,real bland,0.0,0.0
bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,privative,mythical,mythical bland,0.0,0.0
bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,baseline,tqvgqrz,tqvgqrz bland,0.0,0.0
slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,subsective,actual,actual slave,0.0,0.0
slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,privative,artificial,artificial slave,0.0,0.0
slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,baseline,qxsw,qxsw slave,0.0,0.0
sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,subsective,new,new sadness,0.0,0.0
sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,privative,hypothetical,hypothetical sadness,0.0,0.0
sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,baseline,rjdnw,rjdnw sadness,0.0,0.0
ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,subsective,perfect,perfect ground,0.0,0.0
ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,privative,mock,mock ground,0.0,0.0
ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,baseline,qxsw,qxsw ground,0.0,0.0
value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,subsective,bad,bad value,0.0,0.0
value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,privative,fake,fake value,0.0,0.0
value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,baseline,rvqf,rvqf value,0.0,0.0
night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,subsective,typical,typical night,0.0,0.0
night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,privative,spurious,spurious night,0.0,0.0
night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,baseline,mtpv,mtpv night,0.0,0.0
chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,subsective,real,real chance,0.0,0.0
chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,privative,mythical,mythical chance,0.0,0.0
chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,baseline,zrtqgfplh,zrtqgfplh chance,0.0,0.0
squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,subsective,perfect,perfect squash,0.0,0.0
squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,privative,mock,mock squash,0.0,0.0
squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,baseline,rvqf,rvqf squash,0.0,0.0
fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,subsective,genuine,genuine fuss,0.0,0.0
fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,privative,fictional,fictional fuss,0.0,0.0
fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,baseline,fxldmr,fxldmr fuss,0.0,0.0
packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,subsective,old,old packet,0.0,0.0
packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,privative,imaginary,imaginary packet,0.0,0.0
packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,baseline,qxsw,qxsw packet,0.0,0.0
myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,subsective,unique,unique myth,0.0,0.0
myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,privative,virtual,virtual myth,0.0,0.0
myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,baseline,ypdcglkc,ypdcglkc myth,0.0,0.0
bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,subsective,actual,actual bomb,0.0,0.0
bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,privative,artificial,artificial bomb,0.0,0.0
bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,baseline,zrtqgfplh,zrtqgfplh bomb,0.0,0.0
shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,subsective,current,current shame,0.0,0.0
shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,privative,false,false shame,0.0,0.0
shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,baseline,rjdnw,rjdnw shame,0.0,0.0
stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,subsective,true,true stab,0.0,0.0
stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,privative,phony,phony stab,0.0,0.0
stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,baseline,zbxlv,zbxlv stab,0.0,0.0
sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,subsective,real,real sin,0.0,0.0
sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,privative,mythical,mythical sin,0.0,0.0
sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,baseline,bxfjwts,bxfjwts sin,0.0,0.0
beer,26,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714,subsective,current,current beer,0.0,0.0
beer,26,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714,privative,false,false beer,0.0,0.0
beer,26,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714,baseline,mghljkqr,mghljkqr beer,0.0,0.0
fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,subsective,actual,actual fame,0.0,0.0
fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,privative,artificial,artificial fame,0.0,0.0
fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,baseline,bxfjwts,bxfjwts fame,0.0,0.0
book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,subsective,typical,typical book,0.0,0.0
book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,privative,spurious,spurious book,0.0,0.0
book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,baseline,zbxlv,zbxlv book,0.0,0.0
care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,subsective,average,average care,0.0,0.0
care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,privative,fabricated,fabricated care,0.0,0.0
care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,baseline,zbxlv,zbxlv care,0.0,0.0
