,noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG,denotation,adjective,phrase
211,chef,36,concrete,4.69521426,4,1,3,6,4.3,5.8438,566.1111111,1.29,6.486,privative,false,false chef
212,chef,36,concrete,4.69521426,4,1,3,6,4.3,5.8438,566.1111111,1.29,6.486,baseline,ypdcglkc,ypdcglkc chef
213,option,36,abstract,4.60502425,6,2,5,8,2.39,6.0857,519.0263158,1.45,3.118,subsective,average,average option
214,option,36,abstract,4.60502425,6,2,5,8,2.39,6.0857,519.0263158,1.45,3.118,privative,fabricated,fabricated option
215,option,36,abstract,4.60502425,6,2,5,8,2.39,6.0857,519.0263158,1.45,3.118,baseline,kmlsdjtw,kmlsdjtw option
216,dog,37,concrete,5.168214255,3,1,3,2,4.85,7.0667,525.175,0.46,6.889,subsective,true,true dog
217,dog,37,concrete,5.168214255,3,1,3,2,4.85,7.0667,525.175,0.46,6.889,privative,phony,phony dog
218,dog,37,concrete,5.168214255,3,1,3,2,4.85,7.0667,525.175,0.46,6.889,baseline,mghljkqr,mghljkqr dog
219,truth,37,abstract,4.909890512,5,1,4,2,1.96,7.6857,503.9210526,1.4,2.677,subsective,old,old truth
220,truth,37,abstract,4.909890512,5,1,4,2,1.96,7.6857,503.9210526,1.4,2.677,privative,imaginary,imaginary truth
221,truth,37,abstract,4.909890512,5,1,4,2,1.96,7.6857,503.9210526,1.4,2.677,baseline,bxfjwts,bxfjwts truth
222,groom,38,concrete,3.818933801,5,1,4,4,4.54,6.3333,570.2105263,0.96,5.886,subsective,typical,typical groom
223,groom,38,concrete,3.818933801,5,1,4,4,4.54,6.3333,570.2105263,0.96,5.886,privative,spurious,spurious groom
224,groom,38,concrete,3.818933801,5,1,4,4,4.54,6.3333,570.2105263,0.96,5.886,baseline,kmlsdjtw,kmlsdjtw groom
225,notion,38,abstract,3.933279464,6,2,5,6,1.93,5.6774,568.5384615,1.01,2.219,subsective,perfect,perfect notion
226,notion,38,abstract,3.933279464,6,2,5,6,1.93,5.6774,568.5384615,1.01,2.219,privative,mock,mock notion
227,notion,38,abstract,3.933279464,6,2,5,6,1.93,5.6774,568.5384615,1.01,2.219,baseline,zbxlv,zbxlv notion
228,dinner,39,concrete,4.770296194,6,2,4,2,4.5,6.8182,508.725,0.83,6.314,subsective,genuine,genuine dinner
229,dinner,39,concrete,4.770296194,6,2,4,2,4.5,6.8182,508.725,0.83,6.314,privative,fictional,fictional dinner
230,dinner,39,concrete,4.770296194,6,2,4,2,4.5,6.8182,508.725,0.83,6.314,baseline,mtpv,mtpv dinner
231,safety,39,abstract,4.846277268,6,2,5,2,2.37,7.0294,525.7368421,1.31,3.441,subsective,real,real safety
232,safety,39,abstract,4.846277268,6,2,5,2,2.37,7.0294,525.7368421,1.31,3.441,privative,mythical,mythical safety
233,safety,39,abstract,4.846277268,6,2,5,2,2.37,7.0294,525.7368421,1.31,3.441,baseline,qxsw,qxsw safety
234,bread,40,concrete,4.691151525,5,1,4,2,4.92,5.7419,538.7837838,0.28,6.8,subsective,current,current bread
235,bread,40,concrete,4.691151525,5,1,4,2,4.92,5.7419,538.7837838,0.28,6.8,privative,false,false bread
236,bread,40,concrete,4.691151525,5,1,4,2,4.92,5.7419,538.7837838,0.28,6.8,baseline,xkq,xkq bread
237,reserve,40,abstract,4.629425435,7,2,5,4,2.29,5.2581,548.0540541,1.41,3.281,subsective,bad,bad reserve
238,reserve,40,abstract,4.629425435,7,2,5,4,2.29,5.2581,548.0540541,1.41,3.281,privative,fake,fake reserve
239,reserve,40,abstract,4.629425435,7,2,5,4,2.29,5.2581,548.0540541,1.41,3.281,baseline,kmlsdjtw,kmlsdjtw reserve
240,battle,41,concrete,4.937082943,6,2,5,2,4.0,2.25,544.0277778,0.9,5.686,subsective,unique,unique battle
241,battle,41,concrete,4.937082943,6,2,5,2,4.0,2.25,544.0277778,0.9,5.686,privative,virtual,virtual battle
242,battle,41,concrete,4.937082943,6,2,5,2,4.0,2.25,544.0277778,0.9,5.686,baseline,xkq,xkq battle
243,mistake,41,abstract,4.791637005,7,2,6,2,1.97,2.6667,561.1315789,1.0,3.429,subsective,genuine,genuine mistake
244,mistake,41,abstract,4.791637005,7,2,6,2,1.97,2.6667,561.1315789,1.0,3.429,privative,fictional,fictional mistake
245,mistake,41,abstract,4.791637005,7,2,6,2,1.97,2.6667,561.1315789,1.0,3.429,baseline,vpbyzkgrf,vpbyzkgrf mistake
246,clergy,42,concrete,3.362253707,6,2,5,10,4.03,4.7273,629.0571429,1.3,5.516,subsective,average,average clergy
247,clergy,42,concrete,3.362253707,6,2,5,10,4.03,4.7273,629.0571429,1.3,5.516,privative,fabricated,fabricated clergy
248,clergy,42,concrete,3.362253707,6,2,5,10,4.03,4.7273,629.0571429,1.3,5.516,baseline,qxsw,qxsw clergy
249,plight,42,abstract,3.520512189,6,1,4,10,2.04,3.7667,677.3428571,1.4,2.727,subsective,real,real plight
250,plight,42,abstract,3.520512189,6,1,4,10,2.04,3.7667,677.3428571,1.4,2.727,privative,mythical,mythical plight
251,plight,42,abstract,3.520512189,6,1,4,10,2.04,3.7667,677.3428571,1.4,2.727,baseline,mtpv,mtpv plight
252,salt,43,concrete,4.693340514,4,1,4,2,4.89,5.0,512.4594595,0.32,6.324,subsective,actual,actual salt
253,salt,43,concrete,4.693340514,4,1,4,2,4.89,5.0,512.4594595,0.32,6.324,privative,artificial,artificial salt
254,salt,43,concrete,4.693340514,4,1,4,2,4.89,5.0,512.4594595,0.32,6.324,baseline,wvcnz,wvcnz salt
255,effort,43,abstract,4.764848578,6,2,4,4,2.33,5.8788,555.2368421,1.33,3.353,subsective,real,real effort
256,effort,43,abstract,4.764848578,6,2,4,4,2.33,5.8788,555.2368421,1.33,3.353,privative,mythical,mythical effort
257,effort,43,abstract,4.764848578,6,2,4,4,2.33,5.8788,555.2368421,1.33,3.353,baseline,kmlsdjtw,kmlsdjtw effort
258,lice,44,concrete,3.286800333,4,1,3,6,4.73,2.3,578.3589744,0.53,5.807,subsective,new,new lice
259,lice,44,concrete,3.286800333,4,1,3,6,4.73,2.3,578.3589744,0.53,5.807,privative,hypothetical,hypothetical lice
260,lice,44,concrete,3.286800333,4,1,3,6,4.73,2.3,578.3589744,0.53,5.807,baseline,xkq,xkq lice
261,vulgar,44,abstract,3.236065201,6,2,5,6,1.97,2.1515,628.075,0.98,2.969,subsective,true,true vulgar
262,vulgar,44,abstract,3.236065201,6,2,5,6,1.97,2.1515,628.075,0.98,2.969,privative,phony,phony vulgar
263,vulgar,44,abstract,3.236065201,6,2,5,6,1.97,2.1515,628.075,0.98,2.969,baseline,rvqf,rvqf vulgar
264,puffin,45,concrete,3.298880099,6,2,5,13,4.38,5.4118,609.4,1.38,6.143,subsective,typical,typical puffin
265,puffin,45,concrete,3.298880099,6,2,5,13,4.38,5.4118,609.4,1.38,6.143,privative,spurious,spurious puffin
266,puffin,45,concrete,3.298880099,6,2,5,13,4.38,5.4118,609.4,1.38,6.143,baseline,zrtqgfplh,zrtqgfplh puffin
267,proxy,45,abstract,3.047918244,5,2,6,12,2.07,4.6296,648.9459459,1.18,2.286,subsective,unique,unique proxy
268,proxy,45,abstract,3.047918244,5,2,6,12,2.07,4.6296,648.9459459,1.18,2.286,privative,virtual,virtual proxy
269,proxy,45,abstract,3.047918244,5,2,6,12,2.07,4.6296,648.9459459,1.18,2.286,baseline,qxsw,qxsw proxy
270,throne,46,concrete,4.000226254,6,1,4,4,4.64,5.9714,590.2972973,0.99,6.471,subsective,good,good throne
271,throne,46,concrete,4.000226254,6,1,4,4,4.64,5.9714,590.2972973,0.99,6.471,privative,fictitious,fictitious throne
272,throne,46,concrete,4.000226254,6,1,4,4,4.64,5.9714,590.2972973,0.99,6.471,baseline,rvqf,rvqf throne
273,method,46,abstract,4.12387052,6,2,5,6,2.41,5.75,571.925,1.43,2.882,subsective,bad,bad method
274,method,46,abstract,4.12387052,6,2,5,6,2.41,5.75,571.925,1.43,2.882,privative,fake,fake method
275,method,46,abstract,4.12387052,6,2,5,6,2.41,5.75,571.925,1.43,2.882,baseline,bxfjwts,bxfjwts method
276,lettuce,47,concrete,3.813669561,7,2,5,2,4.97,5.5,574.9189189,0.19,6.794,subsective,genuine,genuine lettuce
277,lettuce,47,concrete,3.813669561,7,2,5,2,4.97,5.5,574.9189189,0.19,6.794,privative,fictional,fictional lettuce
278,lettuce,47,concrete,3.813669561,7,2,5,2,4.97,5.5,574.9189189,0.19,6.794,baseline,qxsw,qxsw lettuce
279,fiction,47,abstract,4.10549983,7,2,6,4,2.14,5.697,596.7179487,1.48,3.281,subsective,bad,bad fiction
280,fiction,47,abstract,4.10549983,7,2,6,4,2.14,5.697,596.7179487,1.48,3.281,privative,fake,fake fiction
281,fiction,47,abstract,4.10549983,7,2,6,4,2.14,5.697,596.7179487,1.48,3.281,baseline,ptrgsbkv,ptrgsbkv fiction
282,hedgehog,48,concrete,3.721860243,8,2,6,13,4.93,6.2143,661.2777778,0.25,6.821,subsective,actual,actual hedgehog
283,hedgehog,48,concrete,3.721860243,8,2,6,13,4.93,6.2143,661.2777778,0.25,6.821,privative,artificial,artificial hedgehog
284,hedgehog,48,concrete,3.721860243,8,2,6,13,4.93,6.2143,661.2777778,0.25,6.821,baseline,tqvgqrz,tqvgqrz hedgehog
285,quantum,48,abstract,3.505968244,7,2,7,12,1.9,5.5,662.7428571,1.26,2.121,subsective,bad,bad quantum
286,quantum,48,abstract,3.505968244,7,2,7,12,1.9,5.5,662.7428571,1.26,2.121,privative,fake,fake quantum
287,quantum,48,abstract,3.505968244,7,2,7,12,1.9,5.5,662.7428571,1.26,2.121,baseline,wvcnz,wvcnz quantum
288,resort,49,concrete,4.112708899,6,2,6,6,4.3,5.8065,583.9736842,0.95,4.387,subsective,new,new resort
289,resort,49,concrete,4.112708899,6,2,6,6,4.3,5.8065,583.9736842,0.95,4.387,privative,hypothetical,hypothetical resort
290,resort,49,concrete,4.112708899,6,2,6,6,4.3,5.8065,583.9736842,0.95,4.387,baseline,zbxlv,zbxlv resort
291,status,49,abstract,4.383532138,6,2,6,8,2.24,5.7059,546.8461538,1.43,3.471,subsective,unique,unique status
292,status,49,abstract,4.383532138,6,2,6,8,2.24,5.7059,546.8461538,1.43,3.471,privative,virtual,virtual status
293,status,49,abstract,4.383532138,6,2,6,8,2.24,5.7059,546.8461538,1.43,3.471,baseline,zbxlv,zbxlv status
294,street,50,concrete,5.195546483,6,1,5,2,4.75,5.3333,541.7837838,0.76,6.0,subsective,bad,bad street
295,street,50,concrete,5.195546483,6,1,5,2,4.75,5.3333,541.7837838,0.76,6.0,privative,fake,fake street
296,street,50,concrete,5.195546483,6,1,5,2,4.75,5.3333,541.7837838,0.76,6.0,baseline,fxldmr,fxldmr street
297,service,50,abstract,5.195079085,7,2,5,2,2.21,6.0,519.0,1.26,3.057,subsective,typical,typical service
298,service,50,abstract,5.195079085,7,2,5,2,2.21,6.0,519.0,1.26,3.057,privative,spurious,spurious service
299,service,50,abstract,5.195079085,7,2,5,2,2.21,6.0,519.0,1.26,3.057,baseline,ypdcglkc,ypdcglkc service
300,pastry,51,concrete,4.372429336,6,2,6,6,4.97,5.9714,580.9736842,0.18,6.485,subsective,old,old pastry
301,pastry,51,concrete,4.372429336,6,2,6,6,4.97,5.9714,580.9736842,0.18,6.485,privative,imaginary,imaginary pastry
302,pastry,51,concrete,4.372429336,6,2,6,6,4.97,5.9714,580.9736842,0.18,6.485,baseline,htbqzylm,htbqzylm pastry
303,outcome,51,abstract,4.279953838,7,2,5,8,2.27,5.7059,532.725,1.4,2.794,subsective,new,new outcome
304,outcome,51,abstract,4.279953838,7,2,5,8,2.27,5.7059,532.725,1.4,2.794,privative,hypothetical,hypothetical outcome
305,outcome,51,abstract,4.279953838,7,2,5,8,2.27,5.7059,532.725,1.4,2.794,baseline,mghljkqr,mghljkqr outcome
306,concert,52,concrete,4.234560715,7,2,6,4,4.35,7.2,531.3513514,0.8,6.364,subsective,actual,actual concert
307,concert,52,concrete,4.234560715,7,2,6,4,4.35,7.2,531.3513514,0.8,6.364,privative,artificial,artificial concert
308,concert,52,concrete,4.234560715,7,2,6,4,4.35,7.2,531.3513514,0.8,6.364,baseline,vpbyzkgrf,vpbyzkgrf concert
309,romance,52,abstract,4.088959843,7,2,6,2,2.19,7.5588,535.65,1.3,4.857,subsective,good,good romance
310,romance,52,abstract,4.088959843,7,2,6,2,2.19,7.5588,535.65,1.3,4.857,privative,fictitious,fictitious romance
311,romance,52,abstract,4.088959843,7,2,6,2,2.19,7.5588,535.65,1.3,4.857,baseline,xkq,xkq romance
312,lightning,53,concrete,4.000441624,9,2,6,4,4.59,4.8485,575.1714286,0.87,6.765,subsective,old,old lightning
313,lightning,53,concrete,4.000441624,9,2,6,4,4.59,4.8485,575.1714286,0.87,6.765,privative,imaginary,imaginary lightning
314,lightning,53,concrete,4.000441624,9,2,6,4,4.59,4.8485,575.1714286,0.87,6.765,baseline,ypdcglkc,ypdcglkc lightning
315,command,53,abstract,4.253002255,7,2,6,2,2.48,4.1875,566.0810811,1.24,3.484,subsective,typical,typical command
316,command,53,abstract,4.253002255,7,2,6,2,2.48,4.1875,566.0810811,1.24,3.484,privative,spurious,spurious command
317,command,53,abstract,4.253002255,7,2,6,2,2.48,4.1875,566.0810811,1.24,3.484,baseline,fxldmr,fxldmr command
318,wreck,54,concrete,3.960789515,5,1,3,2,4.07,2.8571,531.2972973,1.08,5.177,subsective,good,good wreck
319,wreck,54,concrete,3.960789515,5,1,3,2,4.07,2.8571,531.2972973,1.08,5.177,privative,fictitious,fictitious wreck
320,wreck,54,concrete,3.960789515,5,1,3,2,4.07,2.8571,531.2972973,1.08,5.177,baseline,rjdnw,rjdnw wreck
321,curse,54,abstract,3.803623751,5,1,3,4,2.39,1.9697,515.3589744,1.34,3.824,subsective,authentic,authentic curse
322,curse,54,abstract,3.803623751,5,1,3,4,2.39,1.9697,515.3589744,1.34,3.824,privative,counterfeit,counterfeit curse
323,curse,54,abstract,3.803623751,5,1,3,4,2.39,1.9697,515.3589744,1.34,3.824,baseline,kmlsdjtw,kmlsdjtw curse
324,bridesmaid,55,concrete,3.454647619,10,2,8,6,4.41,7.0286,601.1315789,0.93,6.394,subsective,authentic,authentic bridesmaid
325,bridesmaid,55,concrete,3.454647619,10,2,8,6,4.41,7.0286,601.1315789,0.93,6.394,privative,counterfeit,counterfeit bridesmaid
326,bridesmaid,55,concrete,3.454647619,10,2,8,6,4.41,7.0286,601.1315789,0.93,6.394,baseline,bxfjwts,bxfjwts bridesmaid
327,tranquil,55,abstract,3.443923753,8,2,8,8,1.9,7.697,636.9166667,0.96,4.029,subsective,true,true tranquil
328,tranquil,55,abstract,3.443923753,8,2,8,8,1.9,7.697,636.9166667,0.96,4.029,privative,phony,phony tranquil
329,tranquil,55,abstract,3.443923753,8,2,8,8,1.9,7.697,636.9166667,0.96,4.029,baseline,rjdnw,rjdnw tranquil
330,mountain,56,concrete,4.6449305,8,2,6,4,4.96,6.1563,568.5263158,0.2,6.833,subsective,important,important mountain
331,mountain,56,concrete,4.6449305,8,2,6,4,4.96,6.1563,568.5263158,0.2,6.833,privative,former,former mountain
332,mountain,56,concrete,4.6449305,8,2,6,4,4.96,6.1563,568.5263158,0.2,6.833,baseline,ypdcglkc,ypdcglkc mountain
333,progress,56,abstract,4.677418454,8,2,7,6,2.12,7.129,540.6052632,1.21,3.364,subsective,unique,unique progress
334,progress,56,abstract,4.677418454,8,2,7,6,2.12,7.129,540.6052632,1.21,3.364,privative,virtual,virtual progress
335,progress,56,abstract,4.677418454,8,2,7,6,2.12,7.129,540.6052632,1.21,3.364,baseline,mghljkqr,mghljkqr progress
336,stake,57,concrete,4.271731346,5,1,4,6,4.21,4.303,617.974359,1.26,3.909,subsective,important,important stake
337,stake,57,concrete,4.271731346,5,1,4,6,4.21,4.303,617.974359,1.26,3.909,privative,former,former stake
338,stake,57,concrete,4.271731346,5,1,4,6,4.21,4.303,617.974359,1.26,3.909,baseline,mghljkqr,mghljkqr stake
339,version,57,abstract,4.536782192,7,2,5,6,1.7,5.1176,584.8378378,0.79,2.688,subsective,current,current version
340,version,57,abstract,4.536782192,7,2,5,6,1.7,5.1176,584.8378378,0.79,2.688,privative,false,false version
341,version,57,abstract,4.536782192,7,2,5,6,1.7,5.1176,584.8378378,0.79,2.688,baseline,zrtqgfplh,zrtqgfplh version
342,vein,58,concrete,3.579397161,4,1,3,6,4.63,4.6667,585.1578947,0.93,6.242,subsective,special,special vein
343,vein,58,concrete,3.579397161,4,1,3,6,4.63,4.6667,585.1578947,0.93,6.242,privative,past,past vein
344,vein,58,concrete,3.579397161,4,1,3,6,4.63,4.6667,585.1578947,0.93,6.242,baseline,fxldmr,fxldmr vein
345,pause,58,abstract,3.860385942,5,1,3,6,2.38,4.9394,535.175,1.21,3.182,subsective,current,current pause
346,pause,58,abstract,3.860385942,5,1,3,6,2.38,4.9394,535.175,1.21,3.182,privative,false,false pause
347,pause,58,abstract,3.860385942,5,1,3,6,2.38,4.9394,535.175,1.21,3.182,baseline,mtpv,mtpv pause
348,midwife,59,concrete,3.593362817,7,2,6,12,4.56,6.7143,605.7567568,0.89,5.912,subsective,actual,actual midwife
349,midwife,59,concrete,3.593362817,7,2,6,12,4.56,6.7143,605.7567568,0.89,5.912,privative,artificial,artificial midwife
350,midwife,59,concrete,3.593362817,7,2,6,12,4.56,6.7143,605.7567568,0.89,5.912,baseline,mtpv,mtpv midwife
351,virtue,59,abstract,3.514621141,6,2,4,10,1.62,7.6176,583.825,1.12,2.343,subsective,bad,bad virtue
352,virtue,59,abstract,3.514621141,6,2,4,10,1.62,7.6176,583.825,1.12,2.343,privative,fake,fake virtue
353,virtue,59,abstract,3.514621141,6,2,4,10,1.62,7.6176,583.825,1.12,2.343,baseline,qxsw,qxsw virtue
354,metal,60,concrete,4.631746522,5,2,5,4,4.87,5.0968,510.15,0.35,5.903,subsective,unique,unique metal
355,metal,60,concrete,4.631746522,5,2,5,4,4.87,5.0968,510.15,0.35,5.903,privative,virtual,virtual metal
356,metal,60,concrete,4.631746522,5,2,5,4,4.87,5.0968,510.15,0.35,5.903,baseline,vpbyzkgrf,vpbyzkgrf metal
357,scheme,60,abstract,4.689568593,6,1,4,6,2.41,4.3939,539.4054054,1.19,3.182,subsective,unique,unique scheme
358,scheme,60,abstract,4.689568593,6,1,4,6,2.41,4.3939,539.4054054,1.19,3.182,privative,virtual,virtual scheme
359,scheme,60,abstract,4.689568593,6,1,4,6,2.41,4.3939,539.4054054,1.19,3.182,baseline,bxfjwts,bxfjwts scheme
360,morgue,61,concrete,3.115691475,6,1,4,6,4.62,2.4063,689.4411765,0.92,5.706,subsective,real,real morgue
361,morgue,61,concrete,3.115691475,6,1,4,6,4.62,2.4063,689.4411765,0.92,5.706,privative,mythical,mythical morgue
362,morgue,61,concrete,3.115691475,6,1,4,6,4.62,2.4063,689.4411765,0.92,5.706,baseline,ypdcglkc,ypdcglkc morgue
363,deceit,61,abstract,3.013799061,6,2,5,8,2.37,2.2121,678.0277778,1.13,2.371,subsective,actual,actual deceit
364,deceit,61,abstract,3.013799061,6,2,5,8,2.37,2.2121,678.0277778,1.13,2.371,privative,artificial,artificial deceit
365,deceit,61,abstract,3.013799061,6,2,5,8,2.37,2.2121,678.0277778,1.13,2.371,baseline,zbxlv,zbxlv deceit
366,medal,62,concrete,4.637048352,5,2,5,4,4.89,7.7273,545.0540541,0.42,6.618,subsective,genuine,genuine medal
367,medal,62,concrete,4.637048352,5,2,5,4,4.89,7.7273,545.0540541,0.42,6.618,privative,fictional,fictional medal
368,medal,62,concrete,4.637048352,5,2,5,4,4.89,7.7273,545.0540541,0.42,6.618,baseline,htbqzylm,htbqzylm medal
369,freedom,62,abstract,4.643757259,7,2,6,4,2.34,8.5588,502.5897436,1.4,3.429,subsective,true,true freedom
370,freedom,62,abstract,4.643757259,7,2,6,4,2.34,8.5588,502.5897436,1.4,3.429,privative,phony,phony freedom
371,freedom,62,abstract,4.643757259,7,2,6,4,2.34,8.5588,502.5897436,1.4,3.429,baseline,bxfjwts,bxfjwts freedom
372,rash,63,concrete,3.612715774,4,1,3,6,4.62,2.8286,556.5945946,0.68,5.147,subsective,true,true rash
373,rash,63,concrete,3.612715774,4,1,3,6,4.62,2.8286,556.5945946,0.68,5.147,privative,phony,phony rash
374,rash,63,concrete,3.612715774,4,1,3,6,4.62,2.8286,556.5945946,0.68,5.147,baseline,wvcnz,wvcnz rash
375,greed,63,abstract,3.629223014,5,1,4,6,1.53,2.2647,556.3333333,0.73,3.636,subsective,old,old greed
376,greed,63,abstract,3.629223014,5,1,4,6,1.53,2.2647,556.3333333,0.73,3.636,privative,imaginary,imaginary greed
377,greed,63,abstract,3.629223014,5,1,4,6,1.53,2.2647,556.3333333,0.73,3.636,baseline,fxldmr,fxldmr greed
378,trap,64,concrete,4.218831564,4,1,4,2,4.3,2.9706,541.0833333,0.93,5.636,subsective,actual,actual trap
379,trap,64,concrete,4.218831564,4,1,4,2,4.3,2.9706,541.0833333,0.93,5.636,privative,artificial,artificial trap
380,trap,64,concrete,4.218831564,4,1,4,2,4.3,2.9706,541.0833333,0.93,5.636,baseline,rjdnw,rjdnw trap
381,anger,64,abstract,4.303726585,5,2,4,2,2.41,2.5294,532.3684211,1.32,4.758,subsective,important,important anger
382,anger,64,abstract,4.303726585,5,2,4,2,2.41,2.5294,532.3684211,1.32,4.758,privative,former,former anger
383,anger,64,abstract,4.303726585,5,2,4,2,2.41,2.5294,532.3684211,1.32,4.758,baseline,htbqzylm,htbqzylm anger
384,dagger,65,concrete,3.281196456,6,2,4,4,4.96,2.7429,569.6756757,0.19,6.606,subsective,perfect,perfect dagger
385,dagger,65,concrete,3.281196456,6,2,4,4,4.96,2.7429,569.6756757,0.19,6.606,privative,mock,mock dagger
386,dagger,65,concrete,3.281196456,6,2,4,4,4.96,2.7429,569.6756757,0.19,6.606,baseline,vpbyzkgrf,vpbyzkgrf dagger
387,boredom,65,abstract,3.261583545,7,2,6,6,1.96,2.4286,555.575,1.32,3.771,subsective,average,average boredom
388,boredom,65,abstract,3.261583545,7,2,6,6,1.96,2.4286,555.575,1.32,3.771,privative,fabricated,fabricated boredom
389,boredom,65,abstract,3.261583545,7,2,6,6,1.96,2.4286,555.575,1.32,3.771,baseline,zrtqgfplh,zrtqgfplh boredom
390,taste,66,concrete,4.946984489,5,1,4,2,4.07,6.9394,509.0,1.39,3.088,subsective,typical,typical taste
391,taste,66,concrete,4.946984489,5,1,4,2,4.07,6.9394,509.0,1.39,3.088,privative,spurious,spurious taste
392,taste,66,concrete,4.946984489,5,1,4,2,4.07,6.9394,509.0,1.39,3.088,baseline,bxfjwts,bxfjwts taste
393,trust,66,abstract,5.018037736,5,1,5,2,2.04,7.3548,514.1842105,1.29,2.735,subsective,important,important trust
394,trust,66,abstract,5.018037736,5,1,5,2,2.04,7.3548,514.1842105,1.29,2.735,privative,former,former trust
395,trust,66,abstract,5.018037736,5,1,5,2,2.04,7.3548,514.1842105,1.29,2.735,baseline,kmlsdjtw,kmlsdjtw trust
396,port,67,concrete,4.491059491,4,1,4,4,4.41,5.1176,541.3783784,1.18,5.177,subsective,good,good port
397,port,67,concrete,4.491059491,4,1,4,4,4.41,5.1176,541.3783784,1.18,5.177,privative,fictitious,fictitious port
398,port,67,concrete,4.491059491,4,1,4,4,4.41,5.1176,541.3783784,1.18,5.177,baseline,tqvgqrz,tqvgqrz port
399,drama,67,abstract,4.519144741,5,2,5,6,2.34,4.4706,575.9189189,1.37,3.735,subsective,special,special drama
400,drama,67,abstract,4.519144741,5,2,5,6,2.34,4.4706,575.9189189,1.37,3.735,privative,past,past drama
401,drama,67,abstract,4.519144741,5,2,5,6,2.34,4.4706,575.9189189,1.37,3.735,baseline,zrtqgfplh,zrtqgfplh drama
402,cervix,68,concrete,2.546994075,6,2,6,13,4.62,5.4063,696.5555556,0.98,5.455,subsective,true,true cervix
403,cervix,68,concrete,2.546994075,6,2,6,13,4.62,5.4063,696.5555556,0.98,5.455,privative,phony,phony cervix
404,cervix,68,concrete,2.546994075,6,2,6,13,4.62,5.4063,696.5555556,0.98,5.455,baseline,fxldmr,fxldmr cervix
405,figment,68,abstract,2.521810529,7,2,7,13,2.04,5.0645,671.6129032,1.27,2.938,subsective,new,new figment
406,figment,68,abstract,2.521810529,7,2,7,13,2.04,5.0645,671.6129032,1.27,2.938,privative,hypothetical,hypothetical figment
407,figment,68,abstract,2.521810529,7,2,7,13,2.04,5.0645,671.6129032,1.27,2.938,baseline,tqvgqrz,tqvgqrz figment
408,pulse,69,concrete,3.928731837,5,1,4,6,4.19,6.0588,573.3947368,0.88,5.177,subsective,special,special pulse
409,pulse,69,concrete,3.928731837,5,1,4,6,4.19,6.0588,573.3947368,0.88,5.177,privative,past,past pulse
410,pulse,69,concrete,3.928731837,5,1,4,6,4.19,6.0588,573.3947368,0.88,5.177,baseline,tqvgqrz,tqvgqrz pulse
411,outlook,69,abstract,3.814000452,7,2,5,6,1.97,5.9697,587.1794872,1.38,3.353,subsective,important,important outlook
412,outlook,69,abstract,3.814000452,7,2,5,6,1.97,5.9697,587.1794872,1.38,3.353,privative,former,former outlook
413,outlook,69,abstract,3.814000452,7,2,5,6,1.97,5.9697,587.1794872,1.38,3.353,baseline,vpbyzkgrf,vpbyzkgrf outlook
414,husband,70,concrete,4.94466486,7,2,7,2,4.11,6.6765,535.2307692,1.22,5.853,subsective,average,average husband
415,husband,70,concrete,4.94466486,7,2,7,2,4.11,6.6765,535.2307692,1.22,5.853,privative,fabricated,fabricated husband
416,husband,70,concrete,4.94466486,7,2,7,2,4.11,6.6765,535.2307692,1.22,5.853,baseline,htbqzylm,htbqzylm husband
417,language,70,abstract,4.819587367,8,2,7,2,2.35,6.7667,554.4358974,1.5,2.484,subsective,special,special language
418,language,70,abstract,4.819587367,8,2,7,2,2.35,6.7667,554.4358974,1.5,2.484,privative,past,past language
419,language,70,abstract,4.819587367,8,2,7,2,2.35,6.7667,554.4358974,1.5,2.484,baseline,qxsw,qxsw language
