,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract,exclude?
170,tendon,686,concrete,2.981293035,noun,6,9.58,4.47,0.97,sleaze,686,abstract,2.848024071,noun,6,11.21,2.41,1.05,
171,bladder,692,concrete,3.429735013,noun,7,10.78,4.48,1.06,dynasty,692,abstract,3.621047818,noun,7,10.5,2.46,1.45,
172,prize,694,concrete,4.808407743,noun,5,5.11,4.45,0.74,freedom,694,abstract,4.643757259,noun,7,7.05,2.34,1.4,
173,mail,699,concrete,4.627701841,noun,4,4.65,4.69,0.74,cause,699,abstract,4.830295304,noun,5,5.84,2.43,1.4,
174,gallop,708,concrete,3.345070585,noun,6,8.32,4.17,1.23,vibes,708,abstract,3.161118578,noun,5,9.95,2.48,1.27,x
175,throne,711,concrete,4.000226254,noun,6,7.28,4.64,0.99,harmony,711,abstract,3.877007498,noun,7,8.79,2.46,1.23,
176,braid,715,concrete,2.587830329,noun,5,7.22,4.38,1.21,twerp,715,abstract,2.436098416,noun,5,8,2.44,1.37,x
177,target,719,concrete,4.811379516,noun,6,7.58,4.11,1.13,shame,719,abstract,4.723655863,noun,5,6.55,2.24,1.46,
178,pouch,720,concrete,3.360377702,noun,5,6.56,4.5,1,dreamer,720,abstract,3.063091647,noun,7,7.25,2.19,1.33,
179,blazer,726,concrete,3.059347706,noun,6,9.6,4.79,0.56,rarity,726,abstract,3.296708622,noun,6,10.94,2.24,1.41,
180,car,731,concrete,5.441200895,noun,3,3.37,4.89,0.31,fun,731,abstract,5.309112361,noun,3,3.67,1.97,1.38,
181,salmon,733,concrete,4.336912273,noun,6,8,4.81,0.63,option,733,abstract,4.60502425,noun,6,8.79,2.39,1.45,
182,domino,741,concrete,3.325145325,noun,6,6.17,4.59,1.08,undoing,741,abstract,3.040128,noun,7,8.08,2.41,1.32,
183,pork,743,concrete,4.388494544,noun,4,5.63,4.79,0.82,faith,743,abstract,4.666361503,noun,5,7.62,1.63,1.08,
184,skewer,746,concrete,2.96524867,noun,6,8.94,4.46,0.92,taker,746,abstract,3.243510432,noun,5,7.9,2.3,1.2,
185,cursor,759,concrete,2.308519583,noun,6,12.16,4.33,1,whimsy,759,abstract,2.367833584,noun,6,10.26,1.85,1.13,
186,onyx,770,concrete,2.883256447,noun,4,13.29,4.64,0.99,jargon,770,abstract,3.115691475,noun,6,11.94,2.07,1.13,
187,venom,774,concrete,3.755677614,noun,5,7.95,4.62,0.92,flair,774,abstract,3.509316715,noun,5,8.91,2.46,1.35,
188,wheel,786,concrete,4.506841333,noun,5,4.4,4.86,0.45,peace,786,abstract,4.743399921,noun,5,6.32,1.62,1.35,
189,crate,788,concrete,3.287912484,noun,5,7.06,4.93,0.26,hunch,788,abstract,3.491615744,noun,5,8.68,2,1.41,
190,stud,790,concrete,3.45916372,noun,4,10.78,4,1.17,ordeal,790,abstract,3.632249469,noun,6,10.06,2.04,1.15,
191,print,791,concrete,4.290680463,noun,5,7.67,4.17,1.26,talent,791,abstract,4.578999586,noun,6,7,2.19,1.14,
192,wombat,803,concrete,2.534584817,noun,6,11.31,4.48,1.19,kudos,803,abstract,2.806325436,noun,5,13.26,2,1.22,
193,piece,805,concrete,5.270380363,noun,5,4.89,4.14,1.24,act,805,abstract,4.988943543,noun,3,6.42,2.46,1.27,
194,infant,808,concrete,3.475332217,noun,6,6.42,4.93,0.37,plea,808,abstract,3.634755503,noun,4,8.42,2.39,1.23,
195,prison,809,concrete,4.813371544,noun,6,7.5,4.68,0.67,success,809,abstract,4.91626221,noun,7,9.25,2.21,1.37,
196,seaman,811,concrete,3.070484072,noun,6,9.45,4.42,0.95,poise,811,abstract,3.028174186,noun,5,11.33,2.39,1.31,
197,sign,813,concrete,4.975721887,noun,4,4.32,4.62,0.62,nobody,813,abstract,5.084901811,noun,6,5.25,2.32,1.49,
198,chalice,821,concrete,2.958186816,noun,7,11.35,4.83,0.46,pronto,821,abstract,2.953414301,noun,6,9.59,2.21,1.37,x
199,spandex,824,concrete,2.466587738,noun,7,9.89,4.97,0.19,infamy,824,abstract,2.508649083,noun,6,10.56,1.75,1.04,
200,pulp,842,concrete,3.409226269,noun,4,9.63,4.3,1.23,bias,842,abstract,3.204938249,noun,4,10.71,1.68,0.9,
201,tobacco,843,concrete,3.823811739,noun,7,7.39,4.88,0.34,fiction,843,abstract,4.10549983,noun,7,7.22,2.14,1.48,
202,jury,845,concrete,4.174013558,noun,4,11.05,4.64,0.56,status,845,abstract,4.383532138,noun,6,11.63,2.24,1.43,
203,gunner,847,concrete,3.10566885,noun,6,10.13,4.35,1.2,modesty,847,abstract,3.207619087,noun,7,10.89,2.23,1.33,
204,dairy,853,concrete,3.999147797,noun,5,6.85,4.45,0.83,terror,853,abstract,4.061784936,noun,6,8.79,2.43,1.48,
205,wick,861,concrete,3.164083057,noun,4,7.83,4.69,0.71,meek,861,abstract,2.928731837,noun,4,9.7,2.22,1.34,
206,rodeo,879,concrete,3.055571209,noun,5,8.33,4.81,0.4,nay,879,abstract,3.307459034,noun,3,10.31,2.41,1.57,x
207,dial,881,concrete,3.796106271,noun,4,6.68,4.52,0.99,sorrow,881,abstract,3.562613541,noun,6,8.42,2.36,1.39,
208,snarl,897,concrete,2.451610582,noun,5,8.75,4,1.22,smidge,897,abstract,2.318985017,noun,6,9.17,2.21,1.28,
209,mite,898,concrete,3.083125553,noun,4,11.35,4.3,1.11,whim,898,abstract,3.155128214,noun,4,10.74,1.69,0.79,
210,hike,899,concrete,3.595556229,noun,4,9.4,4.14,0.95,slang,899,abstract,3.563792088,noun,5,10.68,2.48,1.5,
211,stubble,902,concrete,2.822840525,noun,7,9.28,4.54,0.65,lunacy,902,abstract,2.822840525,noun,6,10.58,1.76,0.87,
212,gash,908,concrete,2.946155729,noun,4,7.95,4.39,1.1,vow,908,abstract,3.202240759,noun,3,9.32,2.42,1.15,
213,speck,912,concrete,3.011706072,noun,5,8.48,4.46,0.9,boyhood,912,abstract,2.880427157,noun,7,8.61,2.29,1.23,
214,wasabi,921,concrete,2.744953749,noun,6,13.95,4.67,0.88,atheism,921,abstract,2.528244639,noun,7,12.69,2.23,1.36,
215,fillet,922,concrete,3.803623751,noun,6,10.95,4.75,0.53,macro,922,abstract,3.885787144,noun,5,12.78,2.31,1.38,x
216,walnut,926,concrete,3.725119504,noun,6,6.16,4.97,0.18,absence,926,abstract,3.888581841,noun,7,7.7,2.31,1.35,
217,chef,931,concrete,4.69521426,noun,4,8.3,4.3,1.29,demand,931,abstract,4.564262613,noun,6,7.83,2.2,1.27,
218,elm,937,concrete,3.402453509,noun,3,9.06,4.69,1.04,merit,937,abstract,3.577120383,noun,5,10.47,1.66,0.97,
219,piano,947,concrete,4.359530848,noun,5,5.5,4.9,0.41,drama,947,abstract,4.519144741,noun,5,7.39,2.34,1.37,
220,bungee,955,concrete,3.276660702,noun,6,11.16,4.39,0.96,fluke,955,abstract,3.291231948,noun,5,10.1,2.34,1.42,
221,stag,956,concrete,3.875287517,noun,4,12.35,4.39,0.88,zest,956,abstract,3.659995356,noun,4,10.56,2.27,1.46,
222,radio,958,concrete,4.821151924,noun,5,5.17,4.74,0.53,trust,958,abstract,5.018037736,noun,5,6.55,2.04,1.29,
223,cleft,959,concrete,2.691370921,noun,5,11.83,4.31,1.05,obtuse,959,abstract,2.428129486,noun,6,12.06,2.14,1.19,x
224,museum,962,concrete,4.593527708,noun,6,8.55,4.6,0.91,culture,962,abstract,4.725444089,noun,7,9.52,2.04,1.34,
225,maid,968,concrete,3.771647488,noun,4,6.95,4.64,0.87,hatred,968,abstract,3.648043736,noun,6,8.72,2,1.2,
226,pucker,970,concrete,2.495076276,noun,6,7.61,4.13,1.17,wacko,970,abstract,2.436098416,noun,5,8.95,2.28,1.31,x
227,shelter,975,concrete,4.132534236,noun,7,9.21,4.64,0.62,affair,975,abstract,4.296381962,noun,6,10.94,2.45,1.27,
228,world,987,concrete,5.882446325,noun,5,5.32,4.36,0.87,nothing,987,abstract,5.636127682,noun,7,5.21,2.21,1.52,x
229,poker,988,concrete,3.783162183,noun,5,9.1,4.2,1.19,brink,988,abstract,3.823488242,noun,5,10.47,2.48,1.33,
230,mobster,996,concrete,1.996765722,noun,7,10,4.13,1.25,drudge,996,abstract,2.017955021,noun,6,10.65,2.44,1.55,
231,talker,1000,concrete,2.863053061,noun,6,5.74,4.39,0.99,favor,1000,abstract,2.799539447,noun,5,6.94,2.07,1.19,
232,survey,1001,concrete,4.282435528,noun,6,11.26,4.08,1.19,destiny,1001,abstract,3.98621554,noun,7,10.21,1.67,0.92,
233,lithium,1002,concrete,2.857103728,noun,7,13.9,4.13,1.38,malice,1002,abstract,2.994588803,noun,6,12.33,1.72,0.79,
234,item,1003,concrete,4.699626892,noun,4,5.68,4.41,0.87,role,1003,abstract,4.943978809,noun,4,6.65,2.19,1.27,
235,mare,1005,concrete,3.652384305,noun,4,8.84,4.75,0.59,heyday,1005,abstract,3.563792088,noun,6,10.59,1.52,0.7,
236,bedrock,1006,concrete,3.103975692,noun,7,10.67,4.46,0.99,headway,1006,abstract,3.038158407,noun,7,11.06,2.3,1.32,
237,ledge,1013,concrete,3.377880803,noun,5,11.05,4.72,0.74,breadth,1013,abstract,3.453890348,noun,7,11.38,2.23,1.31,
238,estate,1018,concrete,4.767507306,noun,6,10.84,4.11,1.23,benefit,1018,abstract,4.827899322,noun,7,9.17,2.25,1.46,
239,brain,1019,concrete,4.8371855,noun,5,5.76,4.69,0.74,risk,1019,abstract,4.984833925,noun,4,7.58,1.63,0.81,
240,soy,1024,concrete,3.638239832,noun,3,13.56,4.7,0.6,circa,1024,abstract,3.363188679,noun,5,13.12,2.12,1.11,x
241,rosary,1039,concrete,2.451610582,noun,6,8.21,4.63,0.81,witchy,1039,abstract,2.18709742,noun,6,8.32,2.46,1.33,x
242,cigar,1051,concrete,3.592812729,noun,5,7.67,4.93,0.27,gloom,1051,abstract,3.603684248,noun,5,9,1.86,1.09,
243,pyramid,1055,concrete,3.713603445,noun,7,7.61,4.96,0.2,dread,1055,abstract,3.6576312,noun,5,9.44,1.86,1.06,
244,gin,1063,concrete,3.886347524,noun,3,12.06,4.46,1.07,trend,1063,abstract,4.017748165,noun,5,10.84,2.42,1.27,
245,panel,1065,concrete,4.3873476,noun,5,9.11,4.26,1.29,verdict,1065,abstract,4.08755265,noun,7,11.05,2.19,1.22,
246,axle,1067,concrete,2.931264173,noun,4,10.85,4.5,1.14,forte,1067,abstract,3.185694206,noun,5,12.72,2.39,1.26,
247,joust,1071,concrete,2.443923753,noun,5,10.63,4.03,0.93,penance,1071,abstract,2.695735726,noun,7,12.5,1.52,0.77,
248,herb,1078,concrete,3.764292621,noun,4,9.05,4.57,1.03,mode,1078,abstract,3.838750526,noun,4,9.68,2.46,1.45,
249,cog,1079,concrete,3.505295441,noun,3,11.33,4.46,1.14,vibe,1079,abstract,3.560839701,noun,4,11,1.89,1.05,
250,cloak,1081,concrete,3.426518002,noun,5,6.95,4.71,0.9,sane,1081,abstract,3.351833928,noun,4,8.5,1.79,0.94,x
251,basin,1083,concrete,3.482487148,noun,5,10,4.63,0.79,gimmick,1083,abstract,3.188496115,noun,7,11.89,2.34,1.26,
252,attire,1091,concrete,2.96524867,noun,6,11.22,4.47,0.88,gripe,1091,abstract,2.691370921,noun,5,10.44,2.15,1.01,
253,rind,1093,concrete,2.981293035,noun,4,8.95,4.48,1.16,glum,1093,abstract,3.015882012,noun,4,10.15,2.11,1.25,x
254,bassist,1095,concrete,2.553068223,noun,7,11.67,4.17,0.82,censure,1095,abstract,2.488127416,noun,7,13,2.44,1.33,
255,balcony,1097,concrete,3.83435416,noun,7,8.1,4.68,0.72,ruling,1097,abstract,4.007489587,noun,6,9.89,2.32,1.35,
256,emu,1099,concrete,3.072312683,noun,3,9,4.79,0.62,glam,1099,abstract,3.298880099,noun,4,11,2.43,0.99,
257,album,1103,concrete,4.546504453,noun,5,6.72,4.69,0.68,fault,1103,abstract,4.751801656,noun,5,6.94,2.41,1.45,
258,tartar,1105,concrete,2.785640838,noun,6,9.94,4.4,1.13,,1105,abstract,2.582226451,noun,4,11.53,1.79,0.98,x
259,kebab,1109,concrete,3.511313475,noun,5,10.44,4.85,0.6,muse,1109,abstract,3.286800333,noun,4,11.94,2.45,1.43,
260,harvest,1122,concrete,4.030792246,noun,7,7.4,4,1.31,glamour,1122,abstract,3.877579314,noun,7,9.11,2.11,1.15,
261,sifter,1127,concrete,2.41173907,noun,6,11,4.64,0.62,miser,1127,abstract,2.41173907,noun,5,11.57,2.36,1.38,
262,smock,1131,concrete,2.528244639,noun,5,6.26,4.78,0.6,meanie,1131,abstract,2.559058586,noun,6,4.79,2.43,1.34,x
263,meter,1133,concrete,3.639230242,noun,5,8.56,4.7,0.72,knack,1133,abstract,3.358493558,noun,5,9.78,2.05,1.09,
264,carcass,1138,concrete,3.451610582,noun,7,12.25,4.46,1.17,enigma,1138,abstract,3.283446691,noun,6,14.17,1.79,1.2,
265,gateway,1146,concrete,3.576549318,noun,7,8.38,4.07,1.33,ultra,1146,abstract,3.572530702,noun,5,9.27,1.55,0.91,x
266,valet,1151,concrete,2.948588757,noun,5,13.67,4.26,1.13,wry,1151,abstract,2.860088582,noun,3,13.4,1.59,0.84,
267,heart,1155,concrete,5.299583497,noun,5,5.17,4.52,0.95,idea,1155,abstract,5.564656286,noun,4,5.95,1.61,1.2,
268,carbon,1160,concrete,4.385754507,noun,6,10.55,4.22,1.34,epic,1160,abstract,4.103466454,noun,4,10.86,2.19,1.36,x
269,mayor,1163,concrete,4.392179489,noun,5,8.28,4.37,1.08,context,1163,abstract,4.279953838,noun,7,10,2.17,1.29,
270,cadet,1164,concrete,3.316912008,noun,5,9.68,4.21,0.92,onset,1164,abstract,3.084901811,noun,5,10.72,2.14,1.27,
271,growl,1168,concrete,3.098856247,noun,5,5.79,4.3,1.1,rundown,1168,abstract,2.918452197,noun,7,7.78,2.3,1.3,
272,petrol,1170,concrete,4.241413876,noun,6,12.28,4.29,1.23,daft,1170,abstract,3.95389392,noun,4,12.26,2.42,1.33,x
273,video,1171,concrete,4.556133631,noun,5,8.06,4.67,0.62,scheme,1171,abstract,4.689568593,noun,6,9.65,2.41,1.19,
274,puss,1175,concrete,3.115691475,noun,4,8.5,4.21,1.23,grudge,1175,abstract,3.188496115,noun,6,10.42,2.14,1.21,
275,yarn,1180,concrete,3.142893758,noun,4,6.61,4.93,0.37,poof,1180,abstract,2.907923331,noun,4,5.67,2.22,1.09,x
276,driver,1194,concrete,4.708657272,noun,6,4.95,4.71,0.66,mystery,1194,abstract,4.695822576,noun,7,6.89,2.33,1.66,
277,bowtie,1201,concrete,2.18709742,noun,6,7.94,4.89,0.31,rawness,1201,abstract,2.385931806,noun,7,8.68,2.36,1.19,
278,pug,1202,concrete,2.883256447,noun,3,9.17,4.62,0.9,tact,1202,abstract,2.883256447,noun,4,10.42,1.76,1.12,
279,locket,1206,concrete,3.234811825,noun,6,8.35,4.82,0.48,norm,1206,abstract,3.52375079,noun,4,9.84,2.11,1.1,
280,rum,1209,concrete,3.91321967,noun,3,11.56,4.93,0.26,cure,1209,abstract,4.138528952,noun,4,9.58,2.41,1.38,
281,shot,1216,concrete,5.196904576,noun,4,5.84,4.44,0.89,future,1216,abstract,5.300544768,noun,6,7.16,1.86,1.3,
282,lunge,1220,concrete,2.926184648,noun,5,9.83,4.16,1.21,uplift,1220,abstract,2.752640578,noun,6,10,2.34,1.26,
283,crease,1225,concrete,3.125488006,noun,6,7.79,4.45,0.95,pleaser,1225,abstract,2.863053061,noun,7,9.33,2.38,1.42,
284,flesh,1229,concrete,4.150580586,noun,5,8.3,4.59,0.95,ban,1229,abstract,4.300825188,noun,3,10.11,2.37,1.5,
285,shears,1230,concrete,2.936284974,noun,6,9.46,4.61,0.84,mutiny,1230,abstract,3.12709949,noun,6,10.59,2.24,0.97,
286,pub,1237,concrete,4.706671391,noun,3,12.05,4.71,0.6,basis,1237,abstract,4.625307905,noun,5,11.05,1.83,0.97,
287,store,1245,concrete,4.631595524,noun,5,4.76,4.5,0.65,joy,1245,abstract,4.525939325,noun,3,6.74,2.37,1.52,
288,topaz,1246,concrete,2.598825713,noun,5,11.19,4.37,1.25,hearsay,1246,abstract,2.678006959,noun,7,12.76,1.82,1.06,
289,beet,1247,concrete,3.115691475,noun,4,6.56,4.8,0.76,fib,1247,abstract,2.854098218,noun,3,6.5,2.47,1.53,
290,bistro,1252,concrete,2.851071764,noun,6,11.79,4.44,1.16,allure,1252,abstract,2.943708993,noun,6,11.83,1.92,1.29,
291,jockey,1268,concrete,3.859791018,noun,6,8.28,4.59,0.91,upgrade,1268,abstract,3.612715774,noun,7,9.17,2.36,1.32,
292,slate,1273,concrete,3.892464449,noun,5,9.25,4.58,0.86,logic,1273,abstract,3.898224043,noun,5,10.58,1.72,1.07,
293,carp,1276,concrete,3.13506842,noun,4,11.42,4.62,0.9,vulgar,1276,abstract,3.236065201,noun,6,11.57,1.97,0.98,x
294,lobe,1284,concrete,2.943708993,noun,4,10.17,4.44,0.85,phobia,1284,abstract,3.195422809,noun,6,9.83,2.1,1.37,
295,vendor,1289,concrete,3.120617363,noun,6,10.17,4.5,0.92,legit,1289,abstract,2.985770338,noun,5,11.35,2.29,1.24,x
296,moat,1295,concrete,3.68563029,noun,4,9.65,4.69,0.62,ego,1295,abstract,3.632249469,noun,3,10.89,1.74,1.1,
297,gull,1299,concrete,3.10566885,noun,4,8.65,4.08,1.52,amends,1299,abstract,3.23731497,noun,6,10.16,1.92,1.09,x
298,muzzle,1300,concrete,3.066803588,noun,6,8.44,4.59,0.8,ethic,1300,abstract,3.303190749,noun,5,10.21,1.59,0.93,
299,brine,1306,concrete,2.969893575,noun,5,14.25,4.24,1.23,affront,1306,abstract,2.686961802,noun,7,12.44,1.83,1.1,
300,biceps,1307,concrete,2.785640838,noun,6,9.42,4.93,0.27,sorcery,1307,abstract,2.704335898,noun,7,10.39,2,1.11,
301,manual,1321,concrete,3.699196258,noun,6,7.57,4.45,0.91,despair,1321,abstract,3.809010419,noun,7,9.56,2.21,1.32,
302,shaft,1324,concrete,3.604220745,noun,5,10.17,4.71,0.53,denial,1324,abstract,3.600451271,noun,6,9.45,2.46,1.48,
303,liquor,1325,concrete,3.481065561,noun,6,8.4,4.73,0.53,imagery,1325,abstract,3.392092115,noun,7,10.28,2.48,1.37,
304,city,1328,concrete,5.397424572,noun,4,6.56,4.79,0.57,health,1328,abstract,5.1396399,noun,6,7.56,2.28,1.22,
305,poster,1329,concrete,3.925929105,noun,6,8.12,4.66,1.04,wisdom,1329,abstract,3.922335631,noun,6,9.61,1.53,0.86,
306,bicep,1333,concrete,2.466587738,noun,5,8.67,4.67,0.73,dibs,1333,abstract,2.744953749,noun,4,7.56,2.23,1.34,
307,satchel,1342,concrete,2.654777119,noun,7,12.35,4.73,0.69,potency,1342,abstract,2.593362817,noun,7,12.89,2.32,1.44,
308,realtor,1344,concrete,2.017955021,noun,7,11.71,4.61,0.88,dualism,1344,abstract,1.809679079,noun,7,13.57,2.19,1.42,
309,hash,1349,concrete,3.308519583,noun,4,12.74,4.1,1.32,homing,1349,abstract,3.12387052,noun,6,11.75,2,1.14,x
310,ember,1350,concrete,2.308519583,noun,5,10.5,4.36,1.04,screwy,1350,abstract,2.142893758,noun,6,10.95,1.83,1.04,x
311,syringe,1351,concrete,3.122246988,noun,7,10.63,4.81,0.57,prelude,1351,abstract,2.860088582,noun,7,11.06,2.33,1.44,
312,receipt,1361,concrete,3.682954956,noun,7,8.53,4.86,0.36,racism,1361,abstract,3.712351274,noun,6,9.56,2.36,1.11,
313,tuxedo,1376,concrete,2.620015012,noun,6,8.26,4.86,0.44,caving,1376,abstract,2.897132851,noun,6,10.11,2.38,1.44,
314,bleach,1385,concrete,3.223365627,noun,6,8,4.74,0.53,decency,1385,abstract,3.298880099,noun,7,9,2,1.19,
315,snuff,1387,concrete,3.675739098,noun,5,11.79,4.04,1.29,output,1387,abstract,3.765033738,noun,6,10.72,2.48,1.6,
316,logbook,1388,concrete,2.729159482,noun,7,12.22,4.54,1.04,dogma,1388,abstract,2.796106271,noun,5,12.89,1.79,1.03,
317,cafe,1390,concrete,4.251072054,noun,4,8.75,4.96,0.19,anti,1390,abstract,4.541143866,noun,4,9.37,2.12,1.26,x
318,puma,1391,concrete,2.918452197,noun,4,9,4.86,0.44,dismay,1391,abstract,3.036179841,noun,6,10.9,2.29,1.27,
319,carjack,1403,concrete,1.297795718,noun,7,12.33,4.39,0.99,demerit,1403,abstract,1.540833766,noun,7,11.71,2.19,1.36,
320,trunk,1420,concrete,3.929746544,noun,5,8.3,4.71,0.69,triumph,1420,abstract,4.010866043,noun,7,10.16,2.17,1.36,
321,bullet,1421,concrete,4.075765974,noun,6,6.7,4.83,0.82,odds,1421,abstract,4.12709949,noun,4,8.58,2.24,1.46,
322,ad,1423,concrete,4.094716793,noun,2,8.22,4.46,1.14,par,1423,abstract,4.012963075,noun,3,10.16,2.26,1.45,
323,factory,1427,concrete,4.587496128,noun,7,6.89,4.76,0.79,opinion,1427,abstract,4.693995065,noun,7,8.42,1.93,1.14,
324,buggy,1435,concrete,3.414237415,noun,5,6.95,4.18,1.16,hassle,1435,abstract,3.533324164,noun,6,8.65,2.18,1.25,
325,quiche,1441,concrete,3.245964079,noun,6,13.13,4.53,0.94,mockery,1441,abstract,2.967577333,noun,7,12.22,2.33,1.39,
326,drape,1442,concrete,2.564967446,noun,5,9.11,4.5,0.82,oddity,1442,abstract,2.789157411,noun,6,10.53,2.11,1.25,
327,pellet,1454,concrete,2.813007022,noun,6,10.18,4.56,0.75,rebirth,1454,abstract,2.960553549,noun,7,10,2.21,1.42,
328,bongo,1460,concrete,3.038158407,noun,5,8.4,4.77,0.43,earnest,1460,abstract,3.272077076,noun,7,10.22,2.24,1.3,
329,dwarf,1463,concrete,3.585037429,noun,5,7.65,4.45,0.95,loyalty,1463,abstract,3.849550591,noun,7,8.78,1.57,0.88,
330,vagina,1468,concrete,3.138215495,noun,6,8.89,4.82,0.77,renewal,1468,abstract,3.41672147,noun,7,10.74,2.29,1.05,x
331,alcove,1472,concrete,2.68250746,noun,6,12.11,4.08,1.21,godsend,1472,abstract,2.888860325,noun,7,11.56,1.54,0.88,
332,arcade,1474,concrete,3.327179495,noun,6,7.79,4.74,0.53,frenzy,1474,abstract,3.498509451,noun,6,9.53,2.31,1.2,
333,rail,1475,concrete,4.397130995,noun,4,7.89,4.9,0.41,blues,1475,abstract,4.666640224,noun,5,9.81,2.31,1.19,x
334,clergy,1478,concrete,3.362253707,noun,6,10.15,4.03,1.3,havoc,1478,abstract,3.569056328,noun,5,10.5,2.18,1.09,
335,casing,1487,concrete,3.074133627,noun,6,11.53,4.28,1.33,zeal,1487,abstract,2.809679079,noun,4,13.12,2.33,1.33,
336,warship,1489,concrete,3.091935073,noun,7,10.44,4.86,0.44,persona,1489,abstract,3.21556372,noun,7,11.33,2.33,1.3,
337,acre,1494,concrete,3.925929105,noun,4,9.8,4.18,1.22,irony,1494,abstract,3.732763606,noun,5,11.4,1.59,1.08,
338,neon,1508,concrete,3.269766994,noun,4,8,4.07,1.26,tad,1508,abstract,3.424900516,noun,3,9.32,2.09,1.44,x
339,slum,1513,concrete,3.320017822,noun,4,11.9,4.03,0.98,motive,1513,abstract,3.607957783,noun,6,11.06,1.5,0.9,
