,set_nr,specificity,word1,word2,probe,answer,length,zipf,CNC_M,CNC_SD,imageability,valence,AoA,RT
153,52,high,fxldmr,kiwi,,,4,3.27,4.86,0.52,6.765,6.029,7.56,674.235294117647
154,52,mid,hairy,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
155,52,low,ypdcglkc,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
156,53,high,kmlsdjtw,watermelon,,,10,3.13,4.89,0.42,,,4.22,
157,53,mid,juicy,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
158,53,low,zbxlv,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
159,54,high,rjdnw,apple,Does it have stripes?,no,5,4.58,5.0,0.0,6.909,6.147,4.15,491.925
160,54,mid,red,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
161,54,low,wvcnz,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
162,55,high,mghljkqr,rugby,,,5,4.63,4.33,1.24,6.1,5.433,11.42,615.615384615385
163,55,mid,tackle,games,,,5,5.12,,,,,,556.157894736842
164,55,low,ptrgsbkv,games,,,5,5.12,,,,,,556.157894736842
165,56,high,zrtqgfplh,emerald,,,7,3.23,4.93,0.26,6.161,6.273,8.26,
166,56,mid,green,gem,,,3,3.95,4.88,0.44,6.364,7.118,7.68,622.540540540541
167,56,low,bxfjwts,gem,Is it shiny?,yes,3,3.95,4.88,0.44,6.364,7.118,7.68,622.540540540541
168,57,high,mtpv,ruby,,,4,4.14,4.77,0.63,6.333,6.4,6.83,601.894736842105
169,57,mid,red,gem,,,3,3.95,4.88,0.44,6.364,7.118,7.68,622.540540540541
170,57,low,qxsw,gem,,,3,3.95,4.88,0.44,6.364,7.118,7.68,622.540540540541
171,58,high,qxsw,sapphire,,,8,3.58,4.76,0.64,6.333,6.788,9.22,
172,58,mid,blue,gem,Is it valuable?,yes,3,3.95,4.88,0.44,6.364,7.118,7.68,622.540540540541
173,58,low,kmlsdjtw,gem,,,3,3.95,4.88,0.44,6.364,7.118,7.68,622.540540540541
174,59,high,bxfjwts,knobs,,,5,3.03,,,,,,632.307692307692
175,59,mid,round,handles,,,7,3.81,,,,,,561.875
176,59,low,mtpv,handles,,,7,3.81,,,,,,561.875
177,60,high,zbxlv,beret,,,5,2.98,4.8,0.65,,,10.33,692.111111111111
178,60,mid,French,hat,Is it worn on the head?,yes,3,4.76,4.88,0.6,6.788,5.455,3.33,585.675675675676
179,60,low,vpbyzkgrf,hat,,,3,4.76,4.88,0.6,6.788,5.455,3.33,585.675675675676
180,61,high,bxfjwts,zebra,,,5,3.69,4.86,0.58,6.813,5.939,4.79,587.552631578947
181,61,mid,striped,horse,,,5,4.99,5.0,0.0,6.828,6.065,4.15,510.55
182,61,low,kmlsdjtw,horse,Does it have scales?,no,5,4.99,5.0,0.0,6.828,6.065,4.15,510.55
183,62,high,fxldmr,school,,,6,5.45,4.79,0.57,6.343,5.229,3.89,508.775
184,62,mid,teaching,institution,,,11,4.05,3.33,1.49,4.515,4.371,10.05,
185,62,low,qxsw,institution,,,11,4.05,3.33,1.49,4.515,4.371,10.05,
186,63,high,htbqzylm,boys,,,4,5.2,,,,,,546.025641025641
187,63,mid,male,kids,,,4,5.19,4.61,0.83,6.469,6.909,3.86,484.769230769231
188,63,low,zbxlv,kids,,,4,5.19,4.61,0.83,6.469,6.909,3.86,484.769230769231
189,64,high,zrtqgfplh,whiskey,,,7,3.5,4.74,0.86,,,9.38,
190,64,mid,smoky,liquor,,,6,3.48,4.73,0.53,6.265,4.909,8.4,575.783783783784
191,64,low,bxfjwts,liquor,,,6,3.48,4.73,0.53,6.265,4.909,8.4,575.783783783784
192,65,high,kmlsdjtw,bat,,,3,4.3,5.0,0.0,6.533,5.313,4.85,580.868421052632
193,65,mid,flying,mammal,Does it lay eggs?,no,6,3.71,4.59,0.68,6.2,5.824,7.39,600.513513513514
194,65,low,kmlsdjtw,mammal,,,6,3.71,4.59,0.68,6.2,5.824,7.39,600.513513513514
195,66,high,zrtqgfplh,hedgehog,Has it got spines?,yes,8,3.72,4.93,0.25,6.821,5.968,8.63,661.277777777778
196,66,mid,spiky,mammal,,,6,3.71,4.59,0.68,6.2,5.824,7.39,600.513513513514
197,66,low,rvqf,mammal,,,6,3.71,4.59,0.68,6.2,5.824,7.39,600.513513513514
198,67,high,vpbyzkgrf,whale,,,5,4.14,4.96,0.2,6.719,5.829,5.47,542.375
199,67,mid,marine,mammal,,,6,3.71,4.59,0.68,6.2,5.824,7.39,600.513513513514
200,67,low,mghljkqr,mammal,Does it grow roots?,no,6,3.71,4.59,0.68,6.2,5.824,7.39,600.513513513514
201,68,high,qxsw,stains,,,6,3.32,,,,,,563.944444444444
202,68,mid,permanent,marks,,,5,4.53,,,,,,548.083333333333
203,68,low,zrtqgfplh,marks,,,5,4.53,,,,,,548.083333333333
204,69,high,rvqf,kebab,,,5,3.51,4.85,0.6,,,10.44,601.567567567568
205,69,mid,skewered,meat,,,4,4.8,4.9,0.3,6.441,4.97,4.42,517.820512820513
206,69,low,ptrgsbkv,meat,,,4,4.8,4.9,0.3,6.441,4.97,4.42,517.820512820513
207,70,high,mtpv,ointment,,,8,2.96,4.5,1.11,,,7.9,631.194444444444
208,70,mid,topical,medicine,,,8,4.31,4.79,0.5,5.765,7.171,4.89,530.846153846154
209,70,low,rvqf,medicine,,,8,4.31,4.79,0.5,5.765,7.171,4.89,530.846153846154
210,71,high,vpbyzkgrf,governors,,,9,3.36,,,,,,
211,71,mid,appointed,politicians,,,11,4.79,,,,,,
212,71,low,xkq,politicians,,,11,4.79,,,,,,
213,72,high,ptrgsbkv,crocodile,,,9,3.95,4.83,0.64,6.849,4.028,5.11,
214,72,mid,large,reptile,,,7,3.36,4.47,1.11,6.457,4.543,6.05,635.921052631579
215,72,low,fxldmr,reptile,,,7,3.36,4.47,1.11,6.457,4.543,6.05,635.921052631579
216,73,high,vpbyzkgrf,tortoise,,,8,3.82,4.87,0.43,6.75,5.781,5.88,609.394736842105
217,73,mid,shelled,reptile,,,7,3.36,4.47,1.11,6.457,4.543,6.05,635.921052631579
218,73,low,bxfjwts,reptile,,,7,3.36,4.47,1.11,6.457,4.543,6.05,635.921052631579
219,74,high,rjdnw,mansions,,,8,2.93,4.46,1.0,,,8.63,629.794871794872
220,74,mid,huge,residences,,,10,2.72,,,,,,
221,74,low,zbxlv,residences,,,10,2.72,,,,,,
222,75,high,tqvgqrz,ketchup,,,7,3.59,5.0,0.0,6.118,5.394,4.3,569.5
223,75,mid,tomato,sauce,,,5,4.79,4.75,0.59,6.2,5.657,5.37,541.384615384615
224,75,low,bxfjwts,sauce,,,5,4.79,4.75,0.59,6.2,5.657,5.37,541.384615384615
225,76,high,rvqf,clogs,Is it typically made of paper?,no,5,3.32,,,,,,606.540540540541
226,76,mid,wooden,shoe,,,4,4.15,4.97,0.18,6.794,5.629,2.6,545.135135135135
227,76,low,bxfjwts,shoe,,,4,4.15,4.97,0.18,6.794,5.629,2.6,545.135135135135
228,77,high,zbxlv,crisps,,,6,3.91,4.04,1.19,,,,535.128205128205
229,77,mid,potato,snacks,,,6,3.49,,,,,,551.48717948718
230,77,low,rjdnw,snacks,,,6,3.49,,,,,,551.48717948718
231,78,high,mtpv,shears,,,6,2.94,4.61,0.84,,,9.46,660.69696969697
232,78,mid,cutting,tool,,,4,4.07,4.6,0.89,6.177,5.059,5.37,536.526315789474
233,78,low,ypdcglkc,tool,,,4,4.07,4.6,0.89,6.177,5.059,5.37,536.526315789474
234,79,high,kmlsdjtw,spade,,,5,3.59,4.46,1.07,6.333,4.75,8.11,543.675675675676
235,79,mid,digging,tool,Is it typically found in the garden?,yes,4,4.07,4.6,0.89,6.177,5.059,5.37,536.526315789474
236,79,low,zrtqgfplh,tool,,,4,4.07,4.6,0.89,6.177,5.059,5.37,536.526315789474
237,80,high,fxldmr,trowel,,,6,3.15,4.16,1.4,,,12.18,674.15625
238,80,mid,gardening,tool,,,4,4.07,4.6,0.89,6.177,5.059,5.37,536.526315789474
239,80,low,fxldmr,tool,,,4,4.07,4.6,0.89,6.177,5.059,5.37,536.526315789474
240,81,high,zbxlv,fir,,,3,3.2,4.58,1.1,,,8.75,589.388888888889
241,81,mid,coniferous,tree,,,4,4.95,5.0,0.0,6.69,6.839,3.57,509.051282051282
242,81,low,zrtqgfplh,tree,,,4,4.95,5.0,0.0,6.69,6.839,3.57,509.051282051282
243,82,high,mtpv,palm,,,4,3.87,4.83,0.46,,,6.0,578.230769230769
244,82,mid,tropical,tree,,,4,4.95,5.0,0.0,6.69,6.839,3.57,509.051282051282
245,82,low,rvqf,tree,,,4,4.95,5.0,0.0,6.69,6.839,3.57,509.051282051282
246,83,high,zbxlv,fork,,,4,3.97,4.9,0.55,6.667,5.212,3.63,530.410256410256
247,83,mid,tined,utensil,,,7,2.51,4.56,0.8,6.147,5.371,7.67,
248,83,low,rjdnw,utensil,,,7,2.51,4.56,0.8,6.147,5.371,7.67,
249,84,high,htbqzylm,aubergine,,,9,3.46,,,,,,
250,84,mid,purple,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
251,84,low,tqvgqrz,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
252,85,high,bxfjwts,carrot,,,6,4.08,5.0,0.0,6.941,5.486,2.74,536.794871794872
253,85,mid,orange,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
254,85,low,vpbyzkgrf,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
255,86,high,fxldmr,corn,,,4,3.94,4.96,0.19,6.286,5.4,4.61,549.025
256,86,mid,yellow,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
257,86,low,kmlsdjtw,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
258,87,high,rjdnw,lettuce,,,7,3.81,4.97,0.19,6.794,5.486,4.28,574.918918918919
259,87,mid,leafy,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
260,87,low,mghljkqr,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
261,88,high,tqvgqrz,cabbage,Does it grow on a tree?,no,7,4.07,4.75,0.65,,,5.78,564.794871794872
262,88,mid,round,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
263,88,low,wvcnz,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
264,89,high,vpbyzkgrf,potato,,,6,4.44,4.85,0.77,6.677,5.559,4.84,
265,89,mid,starchy,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
266,89,low,mtpv,vegetable,Is it good for your health?,yes,9,4.18,4.89,0.32,6.588,5.588,4.17,
267,90,high,htbqzylm,pumpkin,,,7,3.79,4.9,0.31,6.849,5.606,4.78,575.45
268,90,mid,orange,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
269,90,low,rvqf,vegetable,,,9,4.18,4.89,0.32,6.588,5.588,4.17,
270,91,high,wvcnz,ambulance,,,9,4.47,4.81,0.8,6.886,4.722,6.16,
271,91,mid,medical,vehicle,Is it fast?,yes,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
272,91,low,rjdnw,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
273,92,high,ptrgsbkv,chariot,,,7,3.22,4.86,0.74,,,9.11,579.2
274,92,mid,horse-drawn,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
275,92,low,mghljkqr,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
276,93,high,rjdnw,lorry,,,5,4.07,,,6.829,4.629,13.56,549.054054054054
277,93,mid,transport,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
278,93,low,ptrgsbkv,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
279,94,high,zrtqgfplh,submarine,,,9,3.77,4.8,0.61,6.588,5.121,7.94,
280,94,mid,underwater,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
281,94,low,htbqzylm,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
282,95,high,mtpv,tank,,,4,4.34,4.8,0.55,6.471,4.0,7.17,533.578947368421
283,95,mid,armoured,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
284,95,low,xkq,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
285,96,high,kmlsdjtw,tractor,,,7,3.84,5.0,0.0,6.706,5.324,5.5,596.65
286,96,mid,farm,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
287,96,low,htbqzylm,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
288,97,high,rjdnw,bottle,,,6,4.65,4.91,0.44,6.536,5.355,3.56,550.421052631579
289,97,mid,water,vessel,,,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
290,97,low,rvqf,vessel,,,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
291,98,high,wvcnz,vase,Is it decorative?,yes,4,4.27,5.0,0.0,6.294,5.6,7.89,622.425
292,98,mid,flower,vessel,,,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
293,98,low,ptrgsbkv,vessel,Does it carry water?,yes,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
294,99,high,fxldmr,champagne,,,9,4.22,4.82,0.48,,,10.26,610.225
295,99,mid,fizzy,wine,,,4,4.84,4.79,0.5,6.618,6.229,7.9,523.0
296,99,low,rjdnw,wine,,,4,4.84,4.79,0.5,6.618,6.229,7.9,523.0
297,100,high,ypdcglkc,pasta,,,5,4.19,4.86,0.36,6.636,5.97,5.78,551.051282051282
298,100,mid,Italian,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
299,100,low,tqvgqrz,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
300,101,high,zrtqgfplh,sushi,,,5,3.4,4.96,0.19,,,11.19,
301,101,mid,Japanese,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
302,101,low,vpbyzkgrf,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
