set_nr,condition,word1,word2,trigger_word1,trigger_word2
1,low_spec,vpbyzkgrf,kangaroo,,
2,low_spec,tqvgqrz,snail,,
3,low_spec,rjdnw,cardinal,,
4,low_spec,ptrgsbkv,kingfisher,,
5,low_spec,rvqf,ostrich,,
6,low_spec,htbqzylm,ostrich,,
7,low_spec,xkq,owl,,
8,low_spec,htbqzylm,penguin,,
9,low_spec,ptrgsbkv,robin,,
10,low_spec,mghljkqr,swan,,
11,low_spec,rjdnw,yacht,,
12,low_spec,rvqf,anthology,,
13,low_spec,mtpv,wellies,,
14,low_spec,wvcnz,bagel,,
15,low_spec,mghljkqr,baguette,,
16,low_spec,kmlsdjtw,barn,,
17,low_spec,vpbyzkgrf,church,,
18,low_spec,tqvgqrz,factory,,
19,low_spec,rjdnw,hospital,,
20,low_spec,rvqf,house,,
21,low_spec,zrtqgfplh,cabins,,
22,low_spec,fxldmr,bmw,,
23,low_spec,ypdcglkc,limousine,,
24,low_spec,rjdnw,cheetah,,
25,low_spec,bxfjwts,panther,,
26,low_spec,bxfjwts,sphynx,,
27,low_spec,zbxlv,tiger,,
28,low_spec,bxfjwts,stools,,
29,low_spec,fxldmr,brie,,
30,low_spec,xkq,cheddar,,
31,low_spec,rvqf,jacket,,
32,low_spec,ptrgsbkv,chefs,,
33,low_spec,zrtqgfplh,blanket,,
34,low_spec,mghljkqr,phones,,
35,low_spec,rvqf,flu,,
36,low_spec,kmlsdjtw,chihuahua,,
37,low_spec,bxfjwts,labrador,,
38,low_spec,zbxlv,pekinese,,
39,low_spec,qxsw,pug,,
40,low_spec,kmlsdjtw,waiters,,
41,low_spec,vpbyzkgrf,flounder,,
42,low_spec,mtpv,ray,,
43,low_spec,kmlsdjtw,salmon,,
44,low_spec,qxsw,shark,,
45,low_spec,bxfjwts,deck,,
46,low_spec,ptrgsbkv,bluebell,,
47,low_spec,wvcnz,daffodil,,
48,low_spec,zbxlv,rose,,
49,low_spec,ypdcglkc,durian,,
50,low_spec,mghljkqr,banana,,
51,low_spec,xkq,grape,,
52,low_spec,fxldmr,kiwi,,
53,low_spec,kmlsdjtw,watermelon,,
54,low_spec,rjdnw,apple,,
55,low_spec,mghljkqr,rugby,,
56,low_spec,zrtqgfplh,emerald,,
57,low_spec,mtpv,ruby,,
58,low_spec,qxsw,sapphire,,
59,low_spec,bxfjwts,knobs,,
60,low_spec,zbxlv,beret,,
61,low_spec,bxfjwts,zebra,,
62,low_spec,fxldmr,school,,
63,low_spec,htbqzylm,boys,,
64,low_spec,zrtqgfplh,whiskey,,
65,low_spec,kmlsdjtw,bat,,
66,low_spec,zrtqgfplh,hedgehog,,
67,low_spec,vpbyzkgrf,whale,,
68,low_spec,qxsw,stains,,
69,low_spec,rvqf,kebab,,
70,low_spec,mtpv,ointment,,
71,low_spec,vpbyzkgrf,governors,,
72,low_spec,ptrgsbkv,crocodile,,
73,low_spec,vpbyzkgrf,tortoise,,
74,low_spec,rjdnw,mansions,,
75,low_spec,tqvgqrz,ketchup,,
76,low_spec,rvqf,clogs,,
77,low_spec,zbxlv,crisps,,
78,low_spec,mtpv,shears,,
79,low_spec,kmlsdjtw,spade,,
80,low_spec,fxldmr,trowel,,
81,low_spec,zbxlv,fir,,
82,low_spec,mtpv,palm,,
83,low_spec,zbxlv,fork,,
84,low_spec,htbqzylm,aubergine,,
85,low_spec,bxfjwts,carrot,,
86,low_spec,fxldmr,corn,,
87,low_spec,rjdnw,lettuce,,
88,low_spec,tqvgqrz,pea,,
89,low_spec,vpbyzkgrf,potato,,
90,low_spec,htbqzylm,pumpkin,,
91,low_spec,wvcnz,ambulance,,
92,low_spec,ptrgsbkv,chariot,,
93,low_spec,rjdnw,lorry,,
94,low_spec,zrtqgfplh,submarine,,
95,low_spec,mtpv,tank,,
96,low_spec,kmlsdjtw,tractor,,
97,low_spec,rjdnw,bottle,,
98,low_spec,wvcnz,vase,,
99,low_spec,fxldmr,champagne,,
100,low_spec,ypdcglkc,pasta,,
101,low_spec,zrtqgfplh,sushi,,
,high_spec,leaping,animal,,
,high_spec,slow,animal,,
,high_spec,red,bird,,
,high_spec,fishing,bird,,
,high_spec,big,bird,,
,high_spec,large,bird,,
,high_spec,nocturnal,bird,,
,high_spec,flightless,bird,,
,high_spec,small,bird,,
,high_spec,white,bird,,
,high_spec,expensive,boat,,
,high_spec,poetry,book,,
,high_spec,rain,boots,,
,high_spec,ring-shaped,bread,,
,high_spec,french,bread,,
,high_spec,farm,building,,
,high_spec,religious,building,,
,high_spec,industrial,building,,
,high_spec,medical,building,,
,high_spec,residential,building,,
,high_spec,wooden,buildings,,
,high_spec,expensive,car,,
,high_spec,long,car,,
,high_spec,fast,cat,,
,high_spec,large,cat,,
,high_spec,hairless,cat,,
,high_spec,striped,cat,,
,high_spec,small,chairs,,
,high_spec,French,cheese,,
,high_spec,English,cheese,,
,high_spec,warm,clothing,,
,high_spec,professional,cooks,,
,high_spec,warm,cover,,
,high_spec,calling,devices,,
,high_spec,infectious,disease,,
,high_spec,small,dog,,
,high_spec,guide,dog,,
,high_spec,long-haired,dog,,
,high_spec,wrinkly,dog,,
,high_spec,restaurant,employees,,
,high_spec,flat,fish,,
,high_spec,flat,fish,,
,high_spec,oily,fish,,
,high_spec,predator,fish,,
,high_spec,wooden,floor,,
,high_spec,blue,flower,,
,high_spec,yellow,flower,,
,high_spec,thorny,flower,,
,high_spec,thorny,fruit,,
,high_spec,yellow,fruit,,
,high_spec,purple,fruit,,
,high_spec,hairy,fruit,,
,high_spec,juicy,fruit,,
,high_spec,red,fruit,,
,high_spec,tackle,games,,
,high_spec,green,gem,,
,high_spec,red,gem,,
,high_spec,blue,gem,,
,high_spec,round,handles,,
,high_spec,French,hat,,
,high_spec,striped,horse,,
,high_spec,teaching,institution,,
,high_spec,male,kids,,
,high_spec,smoky,liquor,,
,high_spec,flying,mammal,,
,high_spec,spiky,mammal,,
,high_spec,marine,mammal,,
,high_spec,permanent,marks,,
,high_spec,skewered,meat,,
,high_spec,topical,medicine,,
,high_spec,appointed,politicians,,
,high_spec,large,reptile,,
,high_spec,shelled,reptile,,
,high_spec,huge,residences,,
,high_spec,tomato,sauce,,
,high_spec,wooden,shoe,,
,high_spec,potato,snacks,,
,high_spec,cutting,tool,,
,high_spec,digging,tool,,
,high_spec,gardening,tool,,
,high_spec,coniferous,tree,,
,high_spec,tropical,tree,,
,high_spec,tined,utensil,,
,high_spec,purple,vegetable,,
,high_spec,orange,vegetable,,
,high_spec,yellow,vegetable,,
,high_spec,leafy,vegetable,,
,high_spec,spherical,vegetable,,
,high_spec,starchy,vegetable,,
,high_spec,orange,vegetable,,
,high_spec,medical,vehicle,,
,high_spec,horse-drawn,vehicle,,
,high_spec,transport,vehicle,,
,high_spec,underwater,vehicle,,
,high_spec,armoured,vehicle,,
,high_spec,farm,vehicle,,
,high_spec,water,vessel,,
,high_spec,flower,vessel,,
,high_spec,fizzy,wine,,
,high_spec,Italian,food,,
,high_spec,Japanese,food,,
