"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","Length","Syllables.CMU","Phonemes.CMU","AoA.BrysbaertBiemiller","CNC.Brysbaert","VAL.Glasgow_Norms","RT.BLP"
1,"Abstract","A1","longing",3.408385428,7,2,5,8,2.14,4.303,679.6666667
1,"Concrete","A1","sulphur",3.351833928,7,2,5,6,4.23,4.7647,668.25
2,"Abstract","A1","terror",4.061784936,6,2,4,4,2.43,1.6765,531.7222222
2,"Concrete","A1","poison",3.916627975,6,2,5,4,4.27,1.9706,520.65
3,"Abstract","A2","duty",4.614918455,4,2,4,4,2.19,5.0313,574.0277778
3,"Concrete","A2","sauce",4.787859595,5,1,3,2,4.75,5.7188,541.3846154
4,"Abstract","A2","spirit",4.658199772,6,2,6,4,1.6,6.875,537.6410256
4,"Concrete","A2","band",4.935510541,4,1,4,2,4.68,6.0313,523.2
5,"Abstract","A2","pride",4.479139007,5,1,4,4,1.66,5.9429,542.972973
5,"Concrete","A2","brush",4.286688961,5,1,4,2,4.54,5.5,532.7368421
6,"Abstract","A2","manner",4.173291058,6,2,4,4,1.62,5.8,543.4736842
6,"Concrete","A2","mint",4.153920162,4,1,4,2,4.54,6.1333,558.4736842
7,"Abstract","A1","respect",4.771975546,7,2,7,4,2.04,7.9394,526.3
7,"Concrete","A1","sunshine",4.747004045,8,2,6,2,4.21,8.1563,574.7948718
8,"Abstract","A2","farewell",3.840621144,8,2,6,2,2.21,3.875,545.7368421
8,"Concrete","A2","butler",3.849855252,6,2,5,2,4.63,4.7353,565.925
9,"Abstract","A1","delight",4.037565783,7,2,5,4,2.3,8.0588,572.8571429
9,"Concrete","A1","jewel",3.762061652,5,2,4,2,4.96,7.2727,596.1578947
10,"Abstract","A2","mischief",3.483196201,8,2,6,6,1.9,4.3333,615.9473684
10,"Concrete","A2","reptile",3.358493558,7,2,6,6,4.47,4.5294,635.9210526
11,"Abstract","A2","faith",4.666361503,5,1,3,2,1.63,6.6875,562.2631579
11,"Concrete","A2","crown",4.529965629,5,1,4,2,4.81,6.0625,528.6486486
12,"Abstract","A1","scandal",4.221428251,7,2,7,6,2.13,2.5429,602.475
12,"Concrete","A1","barrier",4.038158407,7,3,5,6,4.41,3.3636,561.5
13,"Abstract","A1","caution",3.808675702,7,2,5,4,2.04,4.1818,527.3947368
13,"Concrete","A1","trailer",3.681611084,7,2,5,4,4.79,5.0313,550.2894737
14,"Abstract","A2","blunder",3.020018181,7,2,6,6,2.35,3.4118,598.2631579
14,"Concrete","A2","beggar",3.152101759,6,2,4,4,4.59,2.6207,647.8157895
15,"Abstract","A2","hint",3.948588757,4,1,4,4,2.33,5.7941,567.6666667
15,"Concrete","A2","brake",3.839374961,5,1,4,2,4.44,4.8529,569.5294118
16,"Abstract","A2","gloom",3.603684248,5,1,4,4,1.86,2.8182,546.1578947
16,"Concrete","A2","baggage",3.48602089,7,2,5,2,4.43,3.8065,560.9
17,"Abstract","A1","reason",5.18989032,6,2,5,4,1.93,6.303,537.2
17,"Concrete","A1","daughter",4.971346491,8,2,4,2,4.79,6.4118,535.55
18,"Abstract","A1","mercy",4.02370735,5,2,4,6,1.57,6.2286,569.5789474
18,"Concrete","A1","chess",3.905518741,5,1,3,4,4.7,5.3529,549.0540541
19,"Abstract","A1","loser",3.982416696,5,2,4,2,2.35,2.4118,575.9
19,"Concrete","A1","beast",4.114037018,5,1,4,4,4.63,3.1364,563.9
20,"Abstract","A1","mode",3.838750526,4,1,3,12,2.46,5,621.8611111
20,"Concrete","A1","cooker",3.787050886,6,2,4,10,4.22,5.25,646.6666667
21,"Abstract","A2","blessing",3.814331091,8,2,6,2,2.19,8.1143,549.0540541
21,"Concrete","A2","fireworks",3.900398238,9,2,7,4,4.86,7.3125,565.6578947
22,"Abstract","A1","bland",3.498509451,5,1,5,13,2.38,3.0938,611.6285714
22,"Concrete","A1","rubble",3.769454077,6,2,5,13,4.56,3.7879,632.8333333
23,"Abstract","A1","disgust",3.262762092,7,2,7,6,2.19,2.3714,537.025
23,"Concrete","A1","blister",2.97219753,7,2,6,4,4.71,2.8788,539.1315789
24,"Abstract","A1","sadness",3.721860243,7,2,6,2,1.82,1.8485,537.4736842
24,"Concrete","A1","slave",3.86746218,5,1,4,2,4.38,1.5538,496.8157895
25,"Abstract","A2","value",5.004641466,5,2,5,4,1.62,6.3939,512.45
25,"Concrete","A2","ground",5.189751101,6,1,5,2,4.77,5.4333,481.5128205
26,"Abstract","A2","chance",5.455984759,6,1,4,4,1.64,6.4857,531.3
26,"Concrete","A2","night",5.650836325,5,1,3,2,4.52,5.9063,508.8421053
27,"Abstract","A1","feat",3.64561343,4,1,3,6,2.44,5.7143,631.6333333
27,"Concrete","A1","sperm",3.678006959,5,1,4,8,4.82,5.4412,586.825
28,"Abstract","A2","fuss",3.953654177,4,1,3,2,2.43,3.2121,589.7297297
28,"Concrete","A2","squash",3.924392684,6,1,5,2,4.7,4.1471,558.025
29,"Abstract","A1","myth",3.948588757,4,1,3,8,2.17,5.0286,567.8648649
29,"Concrete","A1","packet",3.895216641,6,2,5,6,4.46,5.1818,535.675
30,"Abstract","A2","shame",4.723655863,5,1,3,4,2.24,2.2121,544.7567568
30,"Concrete","A2","bomb",4.491129061,4,1,3,2,4.84,1.5938,504.2777778
31,"Abstract","A1","sin",3.95676056,3,1,3,2,1.85,2.0588,531.1081081
31,"Concrete","A1","stab",3.873560698,4,1,4,4,4.07,1.8529,555.5135135
32,"Abstract","A2","fame",4.182307877,4,1,3,4,1.96,6,567.65
32,"Concrete","A2","beer",4.47410407,4,1,3,4,4.88,5.5429,567.6388889
33,"Abstract","A1","care",5.340331854,4,1,3,2,2.33,7.7188,524.3714286
33,"Concrete","A1","book",5.209658815,4,1,3,2,4.9,6.7879,521.3611111
34,"Abstract","A2","glamour",3.877579314,7,2,5,4,2.11,6.1515,560.3947368
34,"Concrete","A2","monarch",3.847718122,7,2,6,6,4.14,5.3235,606.7142857
35,"Abstract","A2","rating",3.855904019,6,2,5,8,2.26,5.0303,622.2
35,"Concrete","A2","forum",3.717338442,5,2,5,10,4,5.303,604.5789474
36,"Abstract","A2","lust",3.375163623,4,1,4,10,2.15,5.5429,522.2162162
36,"Concrete","A2","visa",3.649495418,4,2,4,12,4.38,5.4194,528.175
37,"Abstract","A2","midst",3.58838676,5,1,5,6,2.33,5.069,678.8666667
37,"Concrete","A2","camper",3.320017822,6,2,5,4,4.63,5.4545,671.1351351
38,"Abstract","A2","thrifty",2.704335898,7,2,6,6,1.92,5.875,671.8181818
38,"Concrete","A2","sheepskin",2.528244639,9,2,7,4,4.78,5.0303,648.1891892
39,"Abstract","A2","limit",4.437989396,5,2,5,4,2.28,4.1471,580.1794872
39,"Concrete","A2","item",4.699626892,4,2,4,6,4.41,5.1471,538.5833333
40,"Abstract","A2","trouble",5.082519966,7,2,6,4,2.25,2.3235,507.5945946
40,"Concrete","A2","prison",4.813371544,6,2,6,2,4.68,1.9032,510.3
41,"Abstract","A1","skill",4.397907677,5,1,4,4,2.17,7.6129,574.05
41,"Concrete","A1","trophy",4.374436161,6,2,5,2,4.89,7.5429,579.825
42,"Abstract","A2","jargon",3.115691475,6,2,6,12,2.07,3.7333,637.9166667
42,"Concrete","A2","shroud",2.838750526,6,1,4,12,4.34,4.1786,634.9714286
43,"Abstract","A1","inkling",3.375163623,7,2,6,10,2.25,5.6563,620.7741935
43,"Concrete","A1","pheasant",3.554874023,8,2,6,8,4.75,4.9412,645.25
44,"Abstract","A2","option",4.60502425,6,2,5,8,2.39,6.0857,519.0263158
44,"Concrete","A2","chef",4.69521426,4,1,3,6,4.3,5.8438,566.1111111
45,"Abstract","A2","truth",4.909890512,5,1,4,2,1.96,7.6857,503.9210526
45,"Concrete","A2","dog",5.168214255,3,1,3,2,4.85,7.0667,525.175
46,"Abstract","A2","notion",3.933279464,6,2,5,6,1.93,5.6774,568.5384615
46,"Concrete","A2","groom",3.818933801,5,1,4,4,4.54,6.3333,570.2105263
47,"Abstract","A1","safety",4.846277268,6,2,5,2,2.37,7.0294,525.7368421
47,"Concrete","A1","dinner",4.770296194,6,2,4,2,4.5,6.8182,508.725
48,"Abstract","A2","reserve",4.629425435,7,2,5,4,2.29,5.2581,548.0540541
48,"Concrete","A2","bread",4.691151525,5,1,4,2,4.92,5.7419,538.7837838
49,"Abstract","A1","mistake",4.791637005,7,2,6,2,1.97,2.6667,561.1315789
49,"Concrete","A1","battle",4.937082943,6,2,5,2,4,2.25,544.0277778
50,"Abstract","A1","trend",4.017748165,5,1,5,10,2.42,5.5,562.125
50,"Concrete","A1","petrol",4.241413876,6,2,6,8,4.29,4.5313,527.5128205
51,"Abstract","A1","plight",3.520512189,6,1,4,10,2.04,3.7667,677.3428571
51,"Concrete","A1","clergy",3.362253707,6,2,5,10,4.03,4.7273,629.0571429
52,"Abstract","A2","effort",4.764848578,6,2,4,4,2.33,5.8788,555.2368421
52,"Concrete","A2","salt",4.693340514,4,1,4,2,4.89,5,512.4594595
53,"Abstract","A2","vulgar",3.236065201,6,2,5,6,1.97,2.1515,628.075
53,"Concrete","A2","lice",3.286800333,4,1,3,6,4.73,2.3,578.3589744
54,"Abstract","A2","proxy",3.047918244,5,2,6,12,2.07,4.6296,648.9459459
54,"Concrete","A2","puffin",3.298880099,6,2,5,13,4.38,5.4118,609.4
55,"Abstract","A2","method",4.12387052,6,2,5,6,2.41,5.75,571.925
55,"Concrete","A2","throne",4.000226254,6,1,4,4,4.64,5.9714,590.2972973
56,"Abstract","A2","fiction",4.10549983,7,2,6,4,2.14,5.697,596.7179487
56,"Concrete","A2","lettuce",3.813669561,7,2,5,2,4.97,5.5,574.9189189
57,"Abstract","A2","quantum",3.505968244,7,2,7,12,1.9,5.5,662.7428571
57,"Concrete","A2","hedgehog",3.721860243,8,2,6,13,4.93,6.2143,661.2777778
58,"Abstract","A1","status",4.383532138,6,2,6,8,2.24,5.7059,546.8461538
58,"Concrete","A1","resort",4.112708899,6,2,6,6,4.3,5.8065,583.9736842
59,"Abstract","A2","service",5.195079085,7,2,5,2,2.21,6,519
59,"Concrete","A2","street",5.195546483,6,1,5,2,4.75,5.3333,541.7837838
60,"Abstract","A1","outcome",4.279953838,7,2,5,8,2.27,5.7059,532.725
60,"Concrete","A1","pastry",4.372429336,6,2,6,6,4.97,5.9714,580.9736842
61,"Abstract","A2","mood",4.502458229,4,1,3,6,1.75,5.3125,541.6923077
61,"Concrete","A2","crab",4.208686806,4,1,4,4,4.9,5.0286,518.1842105
62,"Abstract","A1","fun",5.309112361,3,1,3,2,1.97,8.4412,499.4473684
62,"Concrete","A1","heart",5.299583497,5,1,4,2,4.52,7.6207,518.3589744
63,"Abstract","A2","romance",4.088959843,7,2,6,2,2.19,7.5588,535.65
63,"Concrete","A2","concert",4.234560715,7,2,6,4,4.35,7.2,531.3513514
64,"Abstract","A2","command",4.253002255,7,2,6,2,2.48,4.1875,566.0810811
64,"Concrete","A2","lightning",4.000441624,9,2,6,4,4.59,4.8485,575.1714286
65,"Abstract","A2","curse",3.803623751,5,1,3,4,2.39,1.9697,515.3589744
65,"Concrete","A2","wreck",3.960789515,5,1,3,2,4.07,2.8571,531.2972973
66,"Abstract","A1","closure",3.976769093,7,2,5,12,1.78,6,535.8888889
66,"Concrete","A1","pasta",4.192941907,5,2,5,12,4.86,6.0323,551.0512821
67,"Abstract","A1","tranquil",3.443923753,8,2,8,8,1.9,7.697,636.9166667
67,"Concrete","A1","bridesmaid",3.454647619,10,2,8,6,4.41,7.0286,601.1315789
68,"Abstract","A1","progress",4.677418454,8,2,7,6,2.12,7.129,540.6052632
68,"Concrete","A1","mountain",4.6449305,8,2,6,4,4.96,6.1563,568.5263158
69,"Abstract","A1","version",4.536782192,7,2,5,6,1.7,5.1176,584.8378378
69,"Concrete","A1","stake",4.271731346,5,1,4,6,4.21,4.303,617.974359
70,"Abstract","A1","output",3.765033738,6,2,5,8,2.48,5.3824,579.6
70,"Concrete","A1","badger",3.97288634,6,2,4,8,4.37,4.9714,582
71,"Abstract","A1","kind",5.602124647,4,1,4,2,2.07,7.7813,543.7567568
71,"Concrete","A1","dad",5.414337051,3,1,3,2,4.29,6.8485,495.6111111
72,"Abstract","A2","pause",3.860385942,5,1,3,6,2.38,4.9394,535.175
72,"Concrete","A2","vein",3.579397161,4,1,3,6,4.63,4.6667,585.1578947
73,"Abstract","A1","virtue",3.514621141,6,2,4,10,1.62,7.6176,583.825
73,"Concrete","A1","midwife",3.593362817,7,2,6,12,4.56,6.7143,605.7567568
74,"Abstract","A2","scheme",4.689568593,6,1,4,6,2.41,4.3939,539.4054054
74,"Concrete","A2","metal",4.631746522,5,2,5,4,4.87,5.0968,510.15
75,"Abstract","A2","sane",3.351833928,4,1,3,8,1.79,6.6571,633.6216216
75,"Concrete","A2","hearth",3.091935073,6,1,4,6,4.38,5.9667,633.5
76,"Abstract","A1","deceit",3.013799061,6,2,5,8,2.37,2.2121,678.0277778
76,"Concrete","A1","morgue",3.115691475,6,1,4,6,4.62,2.4063,689.4411765
77,"Abstract","A1","freedom",4.643757259,7,2,6,4,2.34,8.5588,502.5897436
77,"Concrete","A1","medal",4.637048352,5,2,5,4,4.89,7.7273,545.0540541
78,"Abstract","A1","greed",3.629223014,5,1,4,6,1.53,2.2647,556.3333333
78,"Concrete","A1","rash",3.612715774,4,1,3,6,4.62,2.8286,556.5945946
79,"Abstract","A2","anger",4.303726585,5,2,4,2,2.41,2.5294,532.3684211
79,"Concrete","A2","trap",4.218831564,4,1,4,2,4.3,2.9706,541.0833333
80,"Abstract","A1","boredom",3.261583545,7,2,6,6,1.96,2.4286,555.575
80,"Concrete","A1","dagger",3.281196456,6,2,4,4,4.96,2.7429,569.6756757
81,"Abstract","A2","trust",5.018037736,5,1,5,2,2.04,7.3548,514.1842105
81,"Concrete","A2","taste",4.946984489,5,1,4,2,4.07,6.9394,509
82,"Abstract","A2","drama",4.519144741,5,2,5,6,2.34,4.4706,575.9189189
82,"Concrete","A2","port",4.491059491,4,1,4,4,4.41,5.1176,541.3783784
83,"Abstract","A1","figment",2.521810529,7,2,7,13,2.04,5.0645,671.6129032
83,"Concrete","A1","cervix",2.546994075,6,2,6,13,4.62,5.4063,696.5555556
84,"Abstract","A2","outlook",3.814000452,7,2,5,6,1.97,5.9697,587.1794872
84,"Concrete","A2","pulse",3.928731837,5,1,4,6,4.19,6.0588,573.3947368
85,"Abstract","A2","idea",5.564656286,4,3,4,2,1.61,7.5588,484.05
